Date,id,treatcode,New row,New col,Term fl,Lat fl,Term lf,Lat lf,Comments,Observer
3/23/15,BETALL10_HF_12,CL2,1,1,,,1,1,,NF
3/23/15,POPGRA06_HF_10,CL2,1,1,,,1,1,,NF
3/23/15,QUERUB07_SH_08,CL2,1,1,,,1,0,,NF
3/23/15,QUERUB20_HF_05,CL2,2,1,,,1,1,,NF
3/23/15,ACERUB07_SH_06,CL2,2,1,,,1,1,,NF
3/23/15,FAGGRA11_HF_01,CL2,2,1,,,0,0,,NF
3/23/15,ACERUB09_SH_01,CL2,3,1,18,18,1,-,no lat,NF
3/23/15,VIBLAN07_SH_03,CL2,3,1,,,-,-,missing,NF
3/23/15,ILEMUC03_SH_10,CL2,3,1,,,4,4,,NF
3/23/15,ACESAC05_HF_10,CL2,4,1,,,-,-,missing,NF
3/23/15,ACERUB10_SH_02,CL2,4,1,18,-,1,-,,NF
3/23/15,ACESAC07_HF_05,CL2,4,1,,,-,-,missing,NF
3/23/15,VIBCAS02_HF_10,CL2,5,1,,,-,-,missing,NF
3/23/15,VIBCAS03_HF_06,CL2,5,1,,,-,-,missing,NF
3/23/15,ACEPEN01_HF_01,CL2,5,1,,,3,3,,NF
3/23/15,ACESAC99_HF_05,CL2,6,1,,,-,-,missing,NF
3/23/15,FAGGRA07_SH_01,CL2,6,1,,,0,0,,NF
3/23/15,VIBLAN11_HF_09,CL2,6,1,16,,0,0,,NF
3/23/15,ACEPEN09_SH_11,CL2,7,1,,,3,1,,NF
3/23/15,QUERUB15_HF_05,CL2,7,1,,,1,0,,NF
3/23/15,VIBCAS01_SH_09,CL2,7,1,,,7,0,,NF
3/23/15,BETPAP09_HF_03,CL2,8,1,,,5,5,lat buds on spur,NF
3/23/15,ILEMUC06_HF_09,CL2,8,1,,,0,0,,NF
3/23/15,VIBCAS07_SH_05,CL2,8,1,,,0,0,,NF
3/23/15,ACESAC09_SH_06,CL2,1,2,,,1,1,,NF
3/23/15,QUERUB05_SH_06,CL2,1,2,,,1,1,,NF
3/23/15,BETALL08_SH_01,CL2,1,2,,,4,5,lat buds on spur,NF
3/23/15,ACEPEN12_HF_05,CL2,2,2,,,1,3,,NF
3/23/15,ILEMUC05_HF_02,CL2,2,2,,,4,4,,NF
3/23/15,BETPAP07_HF_05,CL2,2,2,,,5,4,lat buds on spur,NF
3/23/15,BETALL01_SH_06,CL2,3,2,,,-,-,missing,NF
3/23/15,FAGGRA02_SH_11,CL2,3,2,,,1,0,swollen?,NF
3/23/15,VIBCAS06_SH_08,CL2,3,2,,,-,0,no term,NF
3/23/15,ACERUB10_HF_02,CL2,4,2,,,1,1,,NF
3/23/15,FAGGRA13_HF_12,CL2,4,2,,,1,0,swollen?,NF
3/23/15,BETALL16_HF_11,CL2,4,2,,,1,3,,NF
3/23/15,POPGRA04_SH_06,CL2,5,2,,,1,1,,NF
3/23/15,FAGGRA03_HF_10,CL2,5,2,,,0,0,,NF
3/23/15,ACERUB05_SH_02,CL2,5,2,,,1,0,,NF
3/23/15,ACERUB06_SH_07,CL2,6,2,,,4,4,betpap - lat on spur,NF
3/23/15,BETALL03_SH_11,CL2,6,2,,,1,1,,NF
3/23/15,QUERUB04_SH_07,CL2,6,2,,,1,1,,NF
3/23/15,BETPAP07_SH_08,CL2,7,2,,,1,1,,NF
3/23/15,POPGRA08_SH_06,CL2,7,2,,,1,1,,NF
3/23/15,VIBLAN03_HF_09,CL2,7,2,,17,0,0,green lat fl,NF
3/23/15,BETPAP13_HF_07,CL2,8,2,,,1,1,lat buds on spur,NF
3/23/15,FAGGRA04_SH_08,CL2,8,2,,,0,0,,NF
3/23/15,QUERUB06_SH_08,CL2,8,2,,,0,0,,NF
3/23/15,ACERUB13_HF_11,CL2,1,3,,,0,0,,NF
3/23/15,FAGGRA09_HF_08,CL2,1,3,,,0,0,,NF
3/23/15,POPGRA05_HF_07,CL2,1,3,,18,1,1,male catkin,NF
3/23/15,POPGRA06_SH_04,CL2,2,3,,,-,-,missing,NF
3/23/15,ILEMUC07_HF_12,CL2,2,3,,,4,4,,NF
3/23/15,VIBCAS10_HF_11,CL2,2,3,,,6,,,NF
3/23/15,POPGRA07_HF_06,CL2,3,3,18,18,1,1,,NF
3/23/15,BETPAP14_HF_12,CL2,3,3,,,1,1,,NF
3/23/15,FAGGRA08_SH_07,CL2,3,3,,,0,0,,NF
3/23/15,ACESAC10_HF_03,CL2,4,3,,,1,1,,NF
3/23/15,ACEPEN07_SH_03,CL2,4,3,,,1,1,,NF
3/23/15,ACESAC07_SH_12,CL2,4,3,,,1,1,,NF
3/23/15,ILEMUC04_SH_04,CL2,5,3,,,4,4,,NF
3/23/15,QUERUB16_HF_06,CL2,5,3,,,1,1,,NF
3/23/15,VIBCAS04_HF_03,CL2,5,3,,,6,0,,NF
3/23/15,ILEMUC03_HF_07,CL2,6,3,,,4,4,,NF
3/23/15,BETALL09_SH_07,CL2,6,3,,,4,4,,NF
3/23/15,ACESAC06_HF_06,CL2,6,3,,,0,0,,NF
3/23/15,BETPAP08_SH_11,CL2,7,3,,,1,1,,NF
3/23/15,QUERUB10_SH_12,CL2,7,3,,,1,0,,NF
