"id","sp","rep","site","ind","treatcode","warm","photo","chill","gen","Term.fl","Lat.fl","Term.lf","Lat.lf","Comments","Observer","day","day.chill","dayuse","tleaf","lleaf","lday","fday","bday","nl"
"ACEPEN01_HF_01","ACEPEN","1","HF","ACEPEN01_HF","CL2","15","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,43,37,13,1
"ACEPEN01_HF_02","ACEPEN","1","HF","ACEPEN01_HF","CS1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,52,NA,15,1
"ACEPEN01_HF_03","ACEPEN","1","HF","ACEPEN01_HF","CL0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,48,61,20,1
"ACEPEN01_HF_04","ACEPEN","1","HF","ACEPEN01_HF","WS2","20","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,41,41,24,1
"ACEPEN01_HF_05","ACEPEN","1","HF","ACEPEN01_HF","WS0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,34,NA,18,1
"ACEPEN01_HF_06","ACEPEN","1","HF","ACEPEN01_HF","CS2","15","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,17,0
"ACEPEN01_HF_07","ACEPEN","1","HF","ACEPEN01_HF","WL2","20","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,27,NA,14,1
"ACEPEN01_HF_08","ACEPEN","1","HF","ACEPEN01_HF","WL0","20","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,26,NA,26,1
"ACEPEN01_HF_10","ACEPEN","1","HF","ACEPEN01_HF","CS0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,68,NA,33,1
"ACEPEN01_HF_11","ACEPEN","1","HF","ACEPEN01_HF","WL1","20","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,38,45,13,1
"ACEPEN01_HF_12","ACEPEN","1","HF","ACEPEN01_HF","CL1","15","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,37,NA,13,1
"ACEPEN02_HF_01","ACEPEN","2","HF","ACEPEN02_HF","CS1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,44,NA,9,1
"ACEPEN02_HF_02","ACEPEN","2","HF","ACEPEN02_HF","CL0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,40,NA,20,1
"ACEPEN02_HF_03","ACEPEN","2","HF","ACEPEN02_HF","CS2","15","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,13,0
"ACEPEN02_HF_04","ACEPEN","2","HF","ACEPEN02_HF","CS0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,68,NA,21,1
"ACEPEN02_HF_05","ACEPEN","2","HF","ACEPEN02_HF","WL0","20","12","chill0","ACE",NA,NA,"0","0","Missing","",1,-32,1,0,0,NA,NA,NA,0
"ACEPEN02_HF_06","ACEPEN","2","HF","ACEPEN02_HF","WS0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,40,NA,27,1
"ACEPEN02_HF_07","ACEPEN","2","HF","ACEPEN02_HF","CL2","15","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,37,NA,13,1
"ACEPEN02_HF_09","ACEPEN","2","HF","ACEPEN02_HF","WL2","20","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,NA,NA,14,0
"ACEPEN02_HF_10","ACEPEN","2","HF","ACEPEN02_HF","WS2","20","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,50,NA,24,1
"ACEPEN02_HF_11","ACEPEN","2","HF","ACEPEN02_HF","WL1","20","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,24,NA,8,1
"ACEPEN02_HF_12","ACEPEN","2","HF","ACEPEN02_HF","CL1","15","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,30,NA,8,1
"ACEPEN03_HF_01","ACEPEN","3","HF","ACEPEN03_HF","CS2","15","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,13,0
"ACEPEN03_HF_02","ACEPEN","3","HF","ACEPEN03_HF","WL0","20","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,33,NA,13,1
"ACEPEN03_HF_03","ACEPEN","3","HF","ACEPEN03_HF","WS2","20","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,31,NA,13,1
"ACEPEN03_HF_04","ACEPEN","3","HF","ACEPEN03_HF","CL0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,40,NA,20,1
"ACEPEN03_HF_05","ACEPEN","3","HF","ACEPEN03_HF","CL1","15","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,30,NA,8,1
"ACEPEN03_HF_06","ACEPEN","3","HF","ACEPEN03_HF","CS0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,68,NA,21,1
"ACEPEN03_HF_08","ACEPEN","3","HF","ACEPEN03_HF","WL1","20","12","chill1","ACE",NA,NA,"3","3","","TS",36,3,3,3,3,24,NA,3,1
"ACEPEN03_HF_09","ACEPEN","3","HF","ACEPEN03_HF","WL2","20","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,36,NA,20,1
"ACEPEN03_HF_10","ACEPEN","3","HF","ACEPEN03_HF","WS0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,40,NA,18,1
"ACEPEN03_HF_11","ACEPEN","3","HF","ACEPEN03_HF","CL2","15","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,50,NA,13,1
"ACEPEN03_HF_12","ACEPEN","3","HF","ACEPEN03_HF","CS1","15","08","chill1","ACE",NA,NA,"1","3","","TS",36,3,3,1,3,NA,NA,3,0
"ACEPEN04_HF_01","ACEPEN","4","HF","ACEPEN04_HF","WL2","20","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,27,NA,14,1
"ACEPEN04_HF_02","ACEPEN","4","HF","ACEPEN04_HF","CL0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,48,NA,20,1
"ACEPEN04_HF_03","ACEPEN","4","HF","ACEPEN04_HF","WS0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,68,NA,18,1
"ACEPEN04_HF_05","ACEPEN","4","HF","ACEPEN04_HF","CL1","15","12","chill1","ACE",NA,NA,"3","0","","TS",36,3,3,3,0,37,NA,3,1
"ACEPEN04_HF_06","ACEPEN","4","HF","ACEPEN04_HF","CS0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,NA,NA,21,0
"ACEPEN04_HF_07","ACEPEN","4","HF","ACEPEN04_HF","CS2","15","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,NA,0
"ACEPEN04_HF_08","ACEPEN","4","HF","ACEPEN04_HF","CS1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,44,NA,9,1
"ACEPEN04_HF_09","ACEPEN","4","HF","ACEPEN04_HF","WS2","20","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,31,NA,13,1
"ACEPEN04_HF_10","ACEPEN","4","HF","ACEPEN04_HF","WL1","20","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,31,NA,8,1
"ACEPEN04_HF_11","ACEPEN","4","HF","ACEPEN04_HF","WL0","20","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,29,NA,13,1
"ACEPEN04_HF_12","ACEPEN","4","HF","ACEPEN04_HF","CL2","15","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,NA,NA,13,0
"ACEPEN04_SH_01","ACEPEN","4","SH","ACEPEN04_SH","WL2","20","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,NA,NA,14,0
"ACEPEN04_SH_02","ACEPEN","4","SH","ACEPEN04_SH","WL0","20","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,42,NA,13,1
"ACEPEN04_SH_03","ACEPEN","4","SH","ACEPEN04_SH","CL2","15","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,43,NA,13,1
"ACEPEN04_SH_04","ACEPEN","4","SH","ACEPEN04_SH","CS1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,15,0
"ACEPEN04_SH_05","ACEPEN","4","SH","ACEPEN04_SH","WS0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,40,NA,18,1
"ACEPEN04_SH_06","ACEPEN","4","SH","ACEPEN04_SH","CL1","15","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,37,NA,13,1
"ACEPEN04_SH_07","ACEPEN","4","SH","ACEPEN04_SH","CS2","15","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,13,0
"ACEPEN04_SH_08","ACEPEN","4","SH","ACEPEN04_SH","WL1","20","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,31,NA,13,1
"ACEPEN04_SH_09","ACEPEN","4","SH","ACEPEN04_SH","WS2","20","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,50,NA,24,1
"ACEPEN04_SH_11","ACEPEN","4","SH","ACEPEN04_SH","CS0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,68,NA,21,1
"ACEPEN04_SH_12","ACEPEN","4","SH","ACEPEN04_SH","CL0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,54,NA,32,1
"ACEPEN06_SH_01","ACEPEN","6","SH","ACEPEN06_SH","WL0","20","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,33,NA,18,1
"ACEPEN06_SH_02","ACEPEN","6","SH","ACEPEN06_SH","WL2","20","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,27,NA,20,1
"ACEPEN06_SH_03","ACEPEN","6","SH","ACEPEN06_SH","WS0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,40,NA,18,1
"ACEPEN06_SH_04","ACEPEN","6","SH","ACEPEN06_SH","CS0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,82,NA,21,1
"ACEPEN06_SH_05","ACEPEN","6","SH","ACEPEN06_SH","CS2","15","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,44,NA,13,1
"ACEPEN06_SH_06","ACEPEN","6","SH","ACEPEN06_SH","CL1","15","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,51,43,8,1
"ACEPEN06_SH_07","ACEPEN","6","SH","ACEPEN06_SH","CS1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,44,NA,9,1
"ACEPEN06_SH_08","ACEPEN","6","SH","ACEPEN06_SH","WL1","20","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,8,0
"ACEPEN06_SH_09","ACEPEN","6","SH","ACEPEN06_SH","CL2","15","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,30,NA,13,1
"ACEPEN06_SH_10","ACEPEN","6","SH","ACEPEN06_SH","CL0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,48,NA,20,1
"ACEPEN06_SH_11","ACEPEN","6","SH","ACEPEN06_SH","WS2","20","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,13,0
"ACEPEN07_SH_01","ACEPEN","7","SH","ACEPEN07_SH","CS1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,23,0
"ACEPEN07_SH_02","ACEPEN","7","SH","ACEPEN07_SH","WS2","20","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,41,NA,24,1
"ACEPEN07_SH_03","ACEPEN","7","SH","ACEPEN07_SH","CL2","15","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,NA,NA,16,0
"ACEPEN07_SH_04","ACEPEN","7","SH","ACEPEN07_SH","WL1","20","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,13,0
"ACEPEN07_SH_05","ACEPEN","7","SH","ACEPEN07_SH","CS0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,82,NA,39,1
"ACEPEN07_SH_07","ACEPEN","7","SH","ACEPEN07_SH","CL0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,61,NA,32,1
"ACEPEN07_SH_08","ACEPEN","7","SH","ACEPEN07_SH","WL2","20","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,NA,36,14,0
"ACEPEN07_SH_09","ACEPEN","7","SH","ACEPEN07_SH","WS0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,40,NA,27,1
"ACEPEN07_SH_10","ACEPEN","7","SH","ACEPEN07_SH","CS2","15","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,17,0
"ACEPEN07_SH_11","ACEPEN","7","SH","ACEPEN07_SH","CL1","15","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,17,0
"ACEPEN07_SH_12","ACEPEN","7","SH","ACEPEN07_SH","WL0","20","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,42,NA,26,1
"ACEPEN08_SH_01","ACEPEN","8","SH","ACEPEN08_SH","WS0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,56,NA,27,1
"ACEPEN08_SH_02","ACEPEN","8","SH","ACEPEN08_SH","CL1","15","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,57,NA,13,1
"ACEPEN08_SH_03","ACEPEN","8","SH","ACEPEN08_SH","CL0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,82,NA,32,1
"ACEPEN08_SH_04","ACEPEN","8","SH","ACEPEN08_SH","CS2","15","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,13,0
"ACEPEN08_SH_05","ACEPEN","8","SH","ACEPEN08_SH","CS1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,52,NA,15,1
"ACEPEN08_SH_06","ACEPEN","8","SH","ACEPEN08_SH","CS0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,82,NA,39,1
"ACEPEN08_SH_07","ACEPEN","8","SH","ACEPEN08_SH","CL2","15","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,50,NA,13,1
"ACEPEN08_SH_09","ACEPEN","8","SH","ACEPEN08_SH","WL1","20","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,31,NA,13,1
"ACEPEN08_SH_10","ACEPEN","8","SH","ACEPEN08_SH","WL2","20","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,27,NA,14,1
"ACEPEN08_SH_11","ACEPEN","8","SH","ACEPEN08_SH","WS2","20","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,41,NA,24,1
"ACEPEN08_SH_12","ACEPEN","8","SH","ACEPEN08_SH","WL0","20","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,39,39,18,1
"ACEPEN09_SH_01","ACEPEN","9","SH","ACEPEN09_SH","CS1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,44,NA,9,1
"ACEPEN09_SH_02","ACEPEN","9","SH","ACEPEN09_SH","CS2","15","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,52,NA,13,1
"ACEPEN09_SH_03","ACEPEN","9","SH","ACEPEN09_SH","WL0","20","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,NA,NA,13,0
"ACEPEN09_SH_04","ACEPEN","9","SH","ACEPEN09_SH","WS0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,40,43,18,1
"ACEPEN09_SH_05","ACEPEN","9","SH","ACEPEN09_SH","CL0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,48,NA,20,1
"ACEPEN09_SH_06","ACEPEN","9","SH","ACEPEN09_SH","WL2","20","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,NA,NA,14,0
"ACEPEN09_SH_07","ACEPEN","9","SH","ACEPEN09_SH","CS0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,68,NA,33,1
"ACEPEN09_SH_08","ACEPEN","9","SH","ACEPEN09_SH","WS2","20","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,41,NA,13,1
"ACEPEN09_SH_10","ACEPEN","9","SH","ACEPEN09_SH","CL1","15","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,30,NA,8,1
