"","BB.HF","BB.SH","LO.HF","LO.SH"
"ACEPEN",16.4,18.3333333333333,40.8793103448276,46.9444444444444
"ACERUB",22.4,25.1492537313433,40.5882352941176,44.3962264150943
"ACESAC",44.9574468085106,36.4848484848485,57.0740740740741,46.8780487804878
"ALNINC",32.9130434782609,25.3636363636364,45.15,44.3636363636364
"AROMEL",13.6153846153846,NA,29.8333333333333,NA
"BETALL",19.6666666666667,20.7714285714286,33.5074626865672,34.6428571428571
"BETLEN",29.8333333333333,NA,50.5652173913044,NA
"BETPAP",16.8939393939394,18.0441176470588,28.7076923076923,35.6268656716418
"CORCOR",24.8571428571429,19.0416666666667,33.95,30.375
"FAGGRA",41.8196721311475,43.1296296296296,48.5365853658537,46.8965517241379
"FRANIG",38,38,52.2777777777778,46.9130434782609
"HAMVIR",43.6666666666667,NA,47.375,NA
"ILEMUC",15.7971014492754,15.4929577464789,26.9710144927536,25.1549295774648
"KALANG",30.25,32.4782608695652,37.8,42.2
"LONCAN",16.9130434782609,15.75,28.2608695652174,25.0833333333333
"LYOLIG",30.8695652173913,NA,49.5,NA
"NYSSYL",31.6521739130435,NA,52.8695652173913,NA
"POPGRA",33.4339622641509,31.2280701754386,46.2083333333333,45.1666666666667
"PRUPEN",17.8064516129032,16.2105263157895,32.1333333333333,29.6470588235294
"QUEALB",45.2307692307692,NA,52.9090909090909,NA
"QUERUB",36.4347826086956,33.5735294117647,45.0153846153846,42.8030303030303
"QUEVEL",52.0909090909091,NA,59.1578947368421,NA
"RHAFRA",32.375,NA,37.2857142857143,NA
"RHOPRI",29.25,NA,52.1363636363636,NA
"SPIALB",18,20.2142857142857,25.9444444444444,24.6153846153846
"VACMYR",13.125,17.2727272727273,27,28.9545454545455
"VIBCAS",15.4107142857143,18.4583333333333,16.8035714285714,18.7083333333333
"VIBLAN",31.2452830188679,27.5409836065574,32.0204081632653,26.4067796610169
