"site","plot","event","year","doy","date","genus","species","scrub","varetc","cult"
"harvard",NA,"bbd","2005",116,2005-04-26,"Acer","saccharum","0",NA,NA
"harvard",NA,"bbd","2006",118,2006-04-28,"Acer","saccharum","0",NA,NA
"harvard",NA,"bbd","2007",124,2007-05-04,"Acer","saccharum","0",NA,NA
"harvard",NA,"bbd","2008",114,2008-04-23,"Acer","saccharum","0",NA,NA
"harvard",NA,"bbd","2009",117,2009-04-27,"Acer","saccharum","0",NA,NA
"harvard",NA,"bbd","2010",103,2010-04-13,"Acer","saccharum","0",NA,NA
"harvard",NA,"bbd","2011",122,2011-05-02,"Acer","saccharum","0",NA,NA
"harvard",NA,"bbd","2012",109,2012-04-18,"Acer","saccharum","0",NA,NA
"harvard",NA,"bbd","2013",122,2013-05-02,"Acer","saccharum","0",NA,NA
"harvard",NA,"bbd","2014",132,2014-05-12,"Acer","saccharum","0",NA,NA
"harvard",NA,"bbd","1990",118,1990-04-28,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","1991",112,1991-04-22,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","1992",122,1992-05-01,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","1993",110,1993-04-20,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","1994",112,1994-04-22,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","1995",128,1995-05-08,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","1996",116,1996-04-25,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","1997",120,1997-04-30,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","1998",108,1998-04-18,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2000",122,2000-05-01,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2001",118,2001-04-28,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2002",106,2002-04-16,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2003",121,2003-05-01,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2004",113,2004-04-22,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2005",112,2005-04-22,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2006",118,2006-04-28,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2007",120,2007-04-30,"Amelanchier","canadensis","0",NA,NA
