"Date","id","sp","rep","site","ind","treatcode","warm","photo","chill","gen","Term.fl","Lat.fl","Term.lf","Lat.lf","Comments","Observer","day","day.chill","dayuse","tleaf","lleaf"
2015-02-06,"ACEPEN01_HF_03","ACEPEN","1","HF","ACEPEN01_HF","CL0","cool","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN01_HF_05","ACEPEN","1","HF","ACEPEN01_HF","WS0","warm","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN01_HF_08","ACEPEN","1","HF","ACEPEN01_HF","WL0","warm","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN01_HF_10","ACEPEN","1","HF","ACEPEN01_HF","CS0","cool","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN02_HF_02","ACEPEN","2","HF","ACEPEN02_HF","CL0","cool","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN02_HF_04","ACEPEN","2","HF","ACEPEN02_HF","CS0","cool","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN02_HF_05","ACEPEN","2","HF","ACEPEN02_HF","WL0","warm","long","chill0","ACE",NA,NA,"0","0","Missing","",1,-32,1,0,0
2015-02-06,"ACEPEN02_HF_06","ACEPEN","2","HF","ACEPEN02_HF","WS0","warm","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN03_HF_02","ACEPEN","3","HF","ACEPEN03_HF","WL0","warm","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN03_HF_04","ACEPEN","3","HF","ACEPEN03_HF","CL0","cool","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN03_HF_06","ACEPEN","3","HF","ACEPEN03_HF","CS0","cool","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN03_HF_10","ACEPEN","3","HF","ACEPEN03_HF","WS0","warm","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN04_HF_02","ACEPEN","4","HF","ACEPEN04_HF","CL0","cool","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN04_HF_03","ACEPEN","4","HF","ACEPEN04_HF","WS0","warm","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN04_HF_06","ACEPEN","4","HF","ACEPEN04_HF","CS0","cool","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN04_HF_11","ACEPEN","4","HF","ACEPEN04_HF","WL0","warm","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN04_SH_02","ACEPEN","4","SH","ACEPEN04_SH","WL0","warm","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN04_SH_05","ACEPEN","4","SH","ACEPEN04_SH","WS0","warm","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN04_SH_11","ACEPEN","4","SH","ACEPEN04_SH","CS0","cool","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN04_SH_12","ACEPEN","4","SH","ACEPEN04_SH","CL0","cool","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN06_SH_01","ACEPEN","6","SH","ACEPEN06_SH","WL0","warm","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN06_SH_03","ACEPEN","6","SH","ACEPEN06_SH","WS0","warm","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN06_SH_04","ACEPEN","6","SH","ACEPEN06_SH","CS0","cool","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN06_SH_10","ACEPEN","6","SH","ACEPEN06_SH","CL0","cool","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN07_SH_05","ACEPEN","7","SH","ACEPEN07_SH","CS0","cool","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN07_SH_07","ACEPEN","7","SH","ACEPEN07_SH","CL0","cool","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN07_SH_09","ACEPEN","7","SH","ACEPEN07_SH","WS0","warm","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN07_SH_12","ACEPEN","7","SH","ACEPEN07_SH","WL0","warm","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN08_SH_01","ACEPEN","8","SH","ACEPEN08_SH","WS0","warm","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN08_SH_03","ACEPEN","8","SH","ACEPEN08_SH","CL0","cool","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN08_SH_06","ACEPEN","8","SH","ACEPEN08_SH","CS0","cool","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN08_SH_12","ACEPEN","8","SH","ACEPEN08_SH","WL0","warm","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN09_SH_03","ACEPEN","9","SH","ACEPEN09_SH","WL0","warm","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN09_SH_04","ACEPEN","9","SH","ACEPEN09_SH","WS0","warm","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN09_SH_05","ACEPEN","9","SH","ACEPEN09_SH","CL0","cool","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN09_SH_07","ACEPEN","9","SH","ACEPEN09_SH","CS0","cool","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN11_HF_04","ACEPEN","11","HF","ACEPEN11_HF","CS0","cool","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN11_HF_06","ACEPEN","11","HF","ACEPEN11_HF","WL0","warm","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN11_HF_07","ACEPEN","11","HF","ACEPEN11_HF","WS0","warm","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN11_HF_12","ACEPEN","11","HF","ACEPEN11_HF","CL0","cool","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN11_SH_05","ACEPEN","11","SH","ACEPEN11_SH","CL0","cool","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN11_SH_09","ACEPEN","11","SH","ACEPEN11_SH","WL0","warm","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN11_SH_11","ACEPEN","11","SH","ACEPEN11_SH","CS0","cool","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN11_SH_12","ACEPEN","11","SH","ACEPEN11_SH","WS0","warm","short","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
2015-02-06,"ACEPEN12_HF_01","ACEPEN","12","HF","ACEPEN12_HF","WL0","warm","long","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0
