"id","sp","rep","site","ind","treatcode","warm","photo","chill","gen","Term.fl","Lat.fl","Term.lf","Lat.lf","Comments","Observer","day","day.chill","dayuse","lday","fday","bday"
"ACEPEN01_HF_01","ACEPEN","1","HF","ACEPEN01_HF","CL2","15","08","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,43,37,13
"ACEPEN01_HF_02","ACEPEN","1","HF","ACEPEN01_HF","CS1","15","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,52,75,15
"ACEPEN01_HF_03","ACEPEN","1","HF","ACEPEN01_HF","CL0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,48,61,20
"ACEPEN01_HF_04","ACEPEN","1","HF","ACEPEN01_HF","WS2","20","12","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,41,41,24
"ACEPEN01_HF_05","ACEPEN","1","HF","ACEPEN01_HF","WS0","20","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,34,75,18
"ACEPEN01_HF_06","ACEPEN","1","HF","ACEPEN01_HF","CS2","15","12","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,75,75,17
"ACEPEN01_HF_07","ACEPEN","1","HF","ACEPEN01_HF","WL2","20","08","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,27,75,14
"ACEPEN01_HF_08","ACEPEN","1","HF","ACEPEN01_HF","WL0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,26,75,26
"ACEPEN01_HF_10","ACEPEN","1","HF","ACEPEN01_HF","CS0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,68,75,33
"ACEPEN01_HF_11","ACEPEN","1","HF","ACEPEN01_HF","WL1","20","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,38,45,13
"ACEPEN01_HF_12","ACEPEN","1","HF","ACEPEN01_HF","CL1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,37,75,13
"ACEPEN02_HF_01","ACEPEN","2","HF","ACEPEN02_HF","CS1","15","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,44,75,9
"ACEPEN02_HF_02","ACEPEN","2","HF","ACEPEN02_HF","CL0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,40,75,20
"ACEPEN02_HF_03","ACEPEN","2","HF","ACEPEN02_HF","CS2","15","12","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,75,75,13
"ACEPEN02_HF_04","ACEPEN","2","HF","ACEPEN02_HF","CS0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,68,75,21
"ACEPEN02_HF_05","ACEPEN","2","HF","ACEPEN02_HF","WL0","20","08","chill0","ACE",NA,NA,"0","0","Missing","",1,-32,1,75,75,75
"ACEPEN02_HF_06","ACEPEN","2","HF","ACEPEN02_HF","WS0","20","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,40,75,27
"ACEPEN02_HF_07","ACEPEN","2","HF","ACEPEN02_HF","CL2","15","08","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,37,75,13
"ACEPEN02_HF_09","ACEPEN","2","HF","ACEPEN02_HF","WL2","20","08","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,75,75,14
"ACEPEN02_HF_10","ACEPEN","2","HF","ACEPEN02_HF","WS2","20","12","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,50,75,24
"ACEPEN02_HF_11","ACEPEN","2","HF","ACEPEN02_HF","WL1","20","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,24,75,8
"ACEPEN02_HF_12","ACEPEN","2","HF","ACEPEN02_HF","CL1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,30,75,8
"ACEPEN03_HF_01","ACEPEN","3","HF","ACEPEN03_HF","CS2","15","12","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,75,75,13
"ACEPEN03_HF_02","ACEPEN","3","HF","ACEPEN03_HF","WL0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,33,75,13
"ACEPEN03_HF_03","ACEPEN","3","HF","ACEPEN03_HF","WS2","20","12","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,31,75,13
"ACEPEN03_HF_04","ACEPEN","3","HF","ACEPEN03_HF","CL0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,40,75,20
"ACEPEN03_HF_05","ACEPEN","3","HF","ACEPEN03_HF","CL1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,30,75,8
"ACEPEN03_HF_06","ACEPEN","3","HF","ACEPEN03_HF","CS0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,68,75,21
"ACEPEN03_HF_08","ACEPEN","3","HF","ACEPEN03_HF","WL1","20","08","chill1","ACE",NA,NA,"3","3","","TS",36,3,3,24,75,3
"ACEPEN03_HF_09","ACEPEN","3","HF","ACEPEN03_HF","WL2","20","08","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,36,75,20
