Month,Day,Date,Tmax,Tmin,,,,,,,
2014-01,1,2014-01-01,-20.0,-29.5,,,,,,,
2014-01,2,2014-01-02,-28.0,-34.0,,,,,,,
2014-01,3,2014-01-03,-24.0,-28.0,,,,,,,
2014-01,4,2014-01-04,-21.0,-30.0,,,,,,,
2014-01,5,2014-01-05,-9.0,-15.0,,,,,,,
2014-01,6,2014-01-06,1.0,-9.0,,,,,,,
2014-01,7,2014-01-07,-7.0,-21.0,,,,,,,
2014-01,8,2014-01-08,-18.0,-19.5,,,,,,,
2014-01,9,2014-01-09,-11.0,-16.0,,,,,,,
2014-01,10,2014-01-10,-12.0,-19.5,,,,,,,
2014-01,11,2014-01-11,-9.5,-8.0,,,,,,,
2014-01,12,2014-01-12,-4.0,0.0,,,,,,,
2014-01,13,2014-01-13,4.5,-3.0,,,,,,,
2014-01,14,2014-01-14,0.0,-3.0,,,,,,,
2014-01,15,2014-01-15,3.0,1.0,,,,,,,
2014-01,16,2014-01-16,-2.0,-6.0,,,,,,,
2014-01,17,2014-01-17,-5.0,-13.0,,,,,,,
2014-01,18,2014-01-18,-3.0,-12.5,,,,,,,
2014-01,19,2014-01-19,-5.0,-8.0,,,,,,,
2014-01,20,2014-01-20,-6.0,-17.0,,,,,,,
2014-01,21,2014-01-21,-19.0,-32.0,,,,,,,
2014-01,22,2014-01-22,-26.0,-32.0,,,,,,,
2014-01,23,2014-01-23,-20.0,-31.0,,,,,,,
2014-01,24,2014-01-24,-21.0,-30.0,,,,,,,
2014-01,25,2014-01-25,-12.0,-21.0,,,,,,,
2014-01,26,2014-01-26,-10.0,-26.5,,,,,,,
2014-01,27,2014-01-27,-16.0,-22.0,,,,,,,
2014-01,28,2014-01-28,-18.0,-29.0,,,,,,,
2014-01,29,2014-01-29,-15.0,-19.0,,,,,,,
2014-01,30,2014-01-30,-15.0,-24.0,,,,,,,
2014-01,31,2014-01-31,-2.5,-11.0,,,,,,,
2014-02,1,2014-02-01,-6.5,-6.5,,,,,,,
2014-02,2,2014-02-02,-4.5,-4.5,,,,,,,
2014-02,3,2014-02-03,-7.0,-7.0,,,,,,,
2014-02,4,2014-02-04,-15.0,-15.0,,,,,,,
2014-02,5,2014-02-05,-11.0,-11.0,,,,,,,
2014-02,6,2014-02-06,-13.0,-13.0,,,,,,,
2014-02,7,2014-02-07,-8.5,-8.5,,,,,,,
2014-02,8,2014-02-08,-11.0,-11.0,,,,,,,
2014-02,9,2014-02-09,-77.5,-11.5,,,,,,,
2014-02,10,2014-02-10,-12.0,-12.0,,,,,,,
2014-02,11,2014-02-11,-17.0,-17.0,,,,,,,
2014-02,12,2014-02-12,-18.0,-18.0,,,,,,,
2014-02,13,2014-02-13,-16.0,-11.0,,,,,,,
2014-02,14,2014-02-14,-6.0,-16.0,,,,,,,
2014-02,15,2014-02-15,-6.0,-6.0,,,,,,,
2014-02,16,2014-02-16,-9.0,-6.0,,,,,,,
2014-02,17,2014-02-17,-12.0,-12.0,,,,,,,
2014-02,18,2014-02-18,-14.0,-14.0,,,,,,,
2014-02,19,2014-02-19,-8.0,-8.0,,,,,,,
2014-02,20,2014-02-20,-3.0,-3.0,,,,,,,
2014-02,21,2014-02-21,-2.0,-2.0,,,,,,,
2014-02,22,2014-02-22,0.0,0.0,,,,,,,
2014-02,23,2014-02-23,-1.5,-1.5,,,,,,,
2014-02,24,2014-02-24,-4.0,-4.0,,,,,,,
2014-02,25,2014-02-25,-12.0,-12.0,,,,,,,
2014-02,26,2014-02-26,-16.0,-16.0,,,,,,,
2014-02,27,2014-02-27,-17.0,-17.0,,,,,,,
2014-02,28,2014-02-28,-12.5,-12.5,,,,,,,
2014-03,1,2014-03-01,-16.5,-21.5,,,,,,,
2014-03,2,2014-03-02,-7.5,-16.5,,,,,,,
2014-03,3,2014-03-03,-16.0,-29.0,,,,,,,
2014-03,4,2014-03-04,-18.0,-29.0,,,,,,,
2014-03,5,2014-03-05,,-23.0,,,,,,,
2014-03,6,2014-03-06,-14.0,-32.0,,,,,,,
2014-03,7,2014-03-07,-14.0,-27.0,,,,,,,
2014-03,8,2014-03-08,-0.5,-4.0,,,,,,,
2014-03,9,2014-03-09,-4.0,-23.0,,,,,,,
2014-03,10,2014-03-10,-6.0,-9.0,,,,,,,
2014-03,11,2014-03-11,0.0,-5.0,,,,,,,
2014-03,12,2014-03-12,-1.0,-10.0,,,,,,,
2014-03,13,2014-03-13,-13.0,-19.0,,,,,,,
2014-03,14,2014-03-14,-12.0,-25.0,,,,,,,
2014-03,15,2014-03-15,1.0,-9.0,,,,,,,
2014-03,16,2014-03-16,-5.0,-19.5,,,,,,,
2014-03,17,2014-03-17,-15.0,-16.0,,,,,,,
2014-03,18,2014-03-18,-12.0,-26.0,,,,,,,
2014-03,19,2014-03-19,-6.0,-17.0,,,,,,,
2014-03,20,2014-03-20,0.0,-3.5,,,,,,,
2014-03,21,2014-03-21,-1.0,-6.0,,,,,,,
2014-03,22,2014-03-22,-1.0,-15.0,,,,,,,
2014-03,23,2014-03-23,-3.0,-15.5,,,,,,,
2014-03,24,2014-03-24,-12.0,-29.5,,,,,,,
2014-03,25,2014-03-25,-4.0,-24.0,,,,,,,
2014-03,26,2014-03-26,-7.0,-12.0,,,,,,,
2014-03,27,2014-03-27,-8.0,-21.0,,,,,,,
2014-03,28,2014-03-28,-4.0,-8.0,,,,,,,
2014-03,29,2014-03-29,2.5,-2.0,,,,,,,
2014-03,30,2014-03-30,-1.0,-3.5,,,,,,,
2014-03,31,2014-03-31,-1.0,-8.5,,,,,,,
2014-04,1,2014-04-01,5.5,-9.0,,,,,,,
2014-04,2,2014-04-02,3.0,-2.0,,,,,,,
2014-04,3,2014-04-03,5.0,-6.0,,,,,,,
2014-04,4,2014-04-04,3.7,-8.0,,,,,,,
2014-04,5,2014-04-05,1.5,-2.0,,,,,,,
