Date,chamber,id,sp,rep,site,ind,twig,treatcode,warm,photo,chill,position,gen,row,col,Term fl,Lat fl,Term lf,Lat lf,Comments,Observer
2015-02-06,1,PRUPEN09_SH_02,PRUPEN,9,SH,PRUPEN09_SH,2,CL0,cool,long,chill0,1,PRU,1,1,,,0,0,,
2015-02-06,1,RHOPRI06_HF_04,RHOPRI,6,HF,RHOPRI06_HF,4,CL0,cool,long,chill0,1,RHO,1,1,,,0,0,,
2015-02-06,1,VIBLAN04_SH_09,VIBLAN,4,SH,VIBLAN04_SH,9,CL0,cool,long,chill0,1,VIB,1,1,,,0,0,"Lateral bud appears ""swelled"" but is likely not. Need to take photo of this for reference.",
2015-02-06,1,FAGGRA11_HF_02,FAGGRA,11,HF,FAGGRA11_HF,2,CL0,cool,long,chill0,2,FAG,2,1,,,0,0,,
2015-02-06,1,QUERUB21_HF_01,QUERUB,21,HF,QUERUB21_HF,1,CL0,cool,long,chill0,2,QUE,2,1,,,0,0,,
2015-02-06,1,RHAFRA17_HF_01,RHAFRA,17,HF,RHAFRA17_HF,1,CL0,cool,long,chill0,2,RHA,2,1,,,0,0,,
2015-02-06,1,ACERUB99_HF_10,ACERUB,99,HF,ACERUB99_HF,10,CL0,cool,long,chill0,3,ACE,3,1,,,0,0,,
2015-02-06,1,FRANIG01_SH_01,FRANIG,1,SH,FRANIG01_SH,1,CL0,cool,long,chill0,3,FRA,3,1,,,0,0,,
2015-02-06,1,LYOLIG33_HF_02,LYOLIG,33,HF,LYOLIG33_HF,2,CL0,cool,long,chill0,3,LYO,3,1,,,0,0,,
2015-02-06,1,BETLEN11_HF_04,BETLEN,11,HF,BETLEN11_HF,4,CL0,cool,long,chill0,4,BET,4,1,,,0,0,,
2015-02-06,1,HAMVIR08_HF_03,HAMVIR,8,HF,HAMVIR08_HF,3,CL0,cool,long,chill0,4,HAM,4,1,,,0,0,"All Hamvir technically also in stg 25 flowering finishing, though not the primary stage right now. May want to add column containing a secondary stage.",
2015-02-06,1,KALANG13_HF_02,KALANG,13,HF,KALANG13_HF,2,CL0,cool,long,chill0,4,KAL,4,1,,,0,0,Leaves still attached.,
2015-02-06,1,ACERUB10_HF_01,ACERUB,10,HF,ACERUB10_HF,1,CL0,cool,long,chill0,5,ACE,5,1,,,0,0,,
2015-02-06,1,CORCOR05_SH_02,CORCOR,5,SH,CORCOR05_SH,2,CL0,cool,long,chill0,5,COR,5,1,,,0,0,,
2015-02-06,1,RHOPRI08_HF_02,RHOPRI,8,HF,RHOPRI08_HF,2,CL0,cool,long,chill0,5,RHO,5,1,,,0,0,,
2015-02-06,1,ACESAC10_SH_08,ACESAC,10,SH,ACESAC10_SH,8,CL0,cool,long,chill0,6,ACE,6,1,,,0,0,,
2015-02-06,1,BETLEN08_HF_02,BETLEN,8,HF,BETLEN08_HF,2,CL0,cool,long,chill0,6,BET,6,1,,,0,0,,
2015-02-06,1,CORCOR06_HF_03,CORCOR,6,HF,CORCOR06_HF,3,CL0,cool,long,chill0,6,COR,6,1,,,0,0,,
2015-02-06,1,SPIALB08_HF_01,SPIALB,8,HF,SPIALB08_HF,1,CL0,cool,long,chill0,7,SPI,7,1,,,0,0,Missing,
2015-02-06,1,QUEVEL09_HF_01,QUEVEL,9,HF,QUEVEL09_HF,1,CL0,cool,long,chill0,7,QUE,7,1,,,0,0,,
2015-02-06,1,BETALL16_HF_02,BETALL,16,HF,BETALL16_HF,2,CL0,cool,long,chill0,7,BET,7,1,,,0,0,,
2015-02-06,1,BETALL19_HF_01,BETALL,19,HF,BETALL19_HF,1,CL0,cool,long,chill0,8,BET,8,1,,,0,0,,
2015-02-06,1,KALANG12_HF_02,KALANG,12,HF,KALANG12_HF,2,CL0,cool,long,chill0,8,KAL,8,1,,,0,0,Leaves still attached. Stems were not reaching water due to stem being too short. Filled water level slightly higher.,
2015-02-06,1,SPIALB99_SH_04,SPIALB,99,SH,SPIALB99_SH,4,CL0,cool,long,chill0,8,SPI,8,1,,,0,0,,
2015-02-06,1,ACEPEN06_SH_10,ACEPEN,6,SH,ACEPEN06_SH,10,CL0,cool,long,chill0,9,ACE,1,2,,,0,0,,
2015-02-06,1,PRUPEN04_SH_02,PRUPEN,4,SH,PRUPEN04_SH,2,CL0,cool,long,chill0,9,PRU,1,2,,,0,0,,
2015-02-06,1,VIBCAS07_SH_10,VIBCAS,7,SH,VIBCAS07_SH,10,CL0,cool,long,chill0,9,VIB,1,2,,,0,0,,
2015-02-06,1,BETALL17_HF_07,BETALL,17,HF,BETALL17_HF,7,CL0,cool,long,chill0,10,BET,2,2,,,0,0,,
2015-02-06,1,QUERUB05_SH_07,QUERUB,5,SH,QUERUB05_SH,7,CL0,cool,long,chill0,10,QUE,2,2,,,0,0,,
2015-02-06,1,SPIALB07_SH_03,SPIALB,7,SH,SPIALB07_SH,3,CL0,cool,long,chill0,10,SPI,2,2,,,0,0,,
2015-02-06,1,FAGGRA14_HF_06,FAGGRA,14,HF,FAGGRA14_HF,6,CL0,cool,long,chill0,11,FAG,3,2,,,0,0,,
2015-02-06,1,ILEMUC07_HF_10,ILEMUC,7,HF,ILEMUC07_HF,10,CL0,cool,long,chill0,11,ILE,3,2,,,0,0,,
2015-02-06,1,NYSSYL13_HF_04,NYSSYL,13,HF,NYSSYL13_HF,4,CL0,cool,long,chill0,11,NYS,3,2,,,0,0,,
2015-02-06,1,BETPAP08_SH_07,BETPAP,8,SH,BETPAP08_SH,7,CL0,cool,long,chill0,12,BET,4,2,,,0,0,,
2015-02-06,1,LONCAN05_SH_01,LONCAN,5,SH,LONCAN05_SH,1,CL0,cool,long,chill0,12,LON,4,2,,,0,0,,
2015-02-06,1,VIBLAN11_HF_08,VIBLAN,11,HF,VIBLAN11_HF,8,CL0,cool,long,chill0,12,VIB,4,2,,,0,0,,
2015-02-06,1,FAGGRA05_SH_01,FAGGRA,5,SH,FAGGRA05_SH,1,CL0,cool,long,chill0,13,FAG,5,2,,,0,0,,
2015-02-06,1,KALANG03_SH_04,KALANG,3,SH,KALANG03_SH,4,CL0,cool,long,chill0,13,KAL,5,2,,,0,0,,
2015-02-06,1,VACMYR03_SH_02,VACMYR,3,SH,VACMYR03_SH,2,CL0,cool,long,chill0,13,VAC,5,2,,,0,0,,
2015-02-06,1,BETALL20_HF_09,BETALL,20,HF,BETALL20_HF,9,CL0,cool,long,chill0,14,BET,6,2,,,0,0,,
2015-02-06,1,FAGGRA07_SH_10,FAGGRA,7,SH,FAGGRA07_SH,10,CL0,cool,long,chill0,14,FAG,6,2,,,0,0,,
2015-02-06,1,QUEALB08_HF_03,QUEALB,8,HF,QUEALB08_HF,3,CL0,cool,long,chill0,14,QUE,6,2,,,0,0,,
2015-02-06,1,ALNINC07_SH_02,ALNINC,7,SH,ALNINC07_SH,2,CL0,cool,long,chill0,15,ALN,7,2,,,0,0,"Terminal buds slightly peeling off, possibly sick",
2015-02-06,1,BETPAP06_HF_03,BETPAP,6,HF,BETPAP06_HF,3,CL0,cool,long,chill0,15,BET,7,2,,,0,0,,
2015-02-06,1,LYOLIG05_HF_03,LYOLIG,5,HF,LYOLIG05_HF,3,CL0,cool,long,chill0,15,LYO,7,2,,,0,0,,
2015-02-06,1,ALNINC06_SH_01,ALNINC,6,SH,ALNINC06_SH,1,CL0,cool,long,chill0,16,ALN,8,2,,,0,0,,
2015-02-06,1,ILEMUC03_HF_05,ILEMUC,3,HF,ILEMUC03_HF,5,CL0,cool,long,chill0,16,ILE,8,2,,,0,0,,
2015-02-06,1,QUERUB16_HF_10,QUERUB,16,HF,QUERUB16_HF,10,CL0,cool,long,chill0,16,QUE,8,2,,,0,0,,
2015-02-06,1,SPIALB06_HF_03,SPIALB,6,HF,SPIALB06_HF,3,CL0,cool,long,chill0,17,SPI,1,3,,,0,0,,
2015-02-06,1,ACESAC10_HF_02,ACESAC,10,HF,ACESAC10_HF,2,CL0,cool,long,chill0,17,ACE,1,3,,,0,0,,
2015-02-06,1,POPGRA01_SH_03,POPGRA,1,SH,POPGRA01_SH,3,CL0,cool,long,chill0,17,POP,1,3,,,0,0,,
2015-02-06,1,ALNINC07_HF_03,ALNINC,7,HF,ALNINC07_HF,3,CL0,cool,long,chill0,18,ALN,2,3,,,0,0,,
2015-02-06,1,FRANIG08_SH_04,FRANIG,8,SH,FRANIG08_SH,4,CL0,cool,long,chill0,18,FRA,2,3,,,0,0,,
2015-02-06,1,KALANG11_HF_02,KALANG,11,HF,KALANG11_HF,2,CL0,cool,long,chill0,18,KAL,2,3,,,0,0,Leaves still attached.,
2015-02-06,1,BETPAP06_SH_06,BETPAP,6,SH,BETPAP06_SH,6,CL0,cool,long,chill0,19,BET,3,3,,,0,0,,
2015-02-06,1,LONCAN02_HF_01,LONCAN,2,HF,LONCAN02_HF,1,CL0,cool,long,chill0,19,LON,3,3,,,0,0,,
2015-02-06,1,QUEALB12_HF_03,QUEALB,12,HF,QUEALB12_HF,3,CL0,cool,long,chill0,19,QUE,3,3,,,0,0,,
2015-02-06,1,ACESAC02_SH_05,ACESAC,2,SH,ACESAC02_SH,5,CL0,cool,long,chill0,20,ACE,4,3,,,0,0,,
2015-02-06,1,RHAFRA18_HF_03,RHAFRA,18,HF,RHAFRA18_HF,3,CL0,cool,long,chill0,20,RHA,4,3,,,0,0,,
2015-02-06,1,VACMYR10_HF_03,VACMYR,10,HF,VACMYR10_HF,3,CL0,cool,long,chill0,20,VAC,4,3,,,0,0,,
2015-02-06,1,LONCAN01_HF_01,LONCAN,1,HF,LONCAN01_HF,1,CL0,cool,long,chill0,21,LON,5,3,,,0,0,,
2015-02-06,1,NYSSYL14_HF_01,NYSSYL,14,HF,NYSSYL14_HF,1,CL0,cool,long,chill0,21,NYS,5,3,,,0,0,,
2015-02-06,1,ACESAC99_SH_02,ACESAC,99,SH,ACESAC99_SH,2,CL0,cool,long,chill0,21,ACE,5,3,,,0,0,,
2015-02-06,1,ACESAC06_HF_04,ACESAC,6,HF,ACESAC06_HF,4,CL0,cool,long,chill0,22,ACE,6,3,,,0,0,,
2015-02-06,1,CORCOR10_SH_03,CORCOR,10,SH,CORCOR10_SH,3,CL0,cool,long,chill0,22,COR,6,3,,,0,0,,
2015-02-06,1,BETPAP13_HF_06,BETPAP,13,HF,BETPAP13_HF,6,CL0,cool,long,chill0,22,BET,6,3,,,0,0,,
2015-02-06,1,LONCAN06_HF_03,LONCAN,6,HF,LONCAN06_HF,3,CL0,cool,long,chill0,23,LON,7,3,,,0,0,,
2015-02-06,1,BETALL01_SH_07,BETALL,1,SH,BETALL01_SH,7,CL0,cool,long,chill0,23,BET,7,3,,,0,0,,
2015-02-06,1,VIBLAN09_SH_11,VIBLAN,9,SH,VIBLAN09_SH,11,CL0,cool,long,chill0,23,VIB,7,3,,,0,0,,
2015-02-06,1,CORCOR07_SH_03,CORCOR,7,SH,CORCOR07_SH,3,CL0,cool,long,chill0,24,COR,8,3,,,0,0,,
2015-02-06,1,LONCAN05_HF_01,LONCAN,5,HF,LONCAN05_HF,1,CL0,cool,long,chill0,24,LON,8,3,,,0,0,,
2015-02-06,1,QUEVEL01_HF_03,QUEVEL,1,HF,QUEVEL01_HF,3,CL0,cool,long,chill0,24,QUE,8,3,,,0,0,,
2015-02-06,1,PRUPEN04_HF_02,PRUPEN,4,HF,PRUPEN04_HF,2,CL0,cool,long,chill0,25,PRU,1,4,,,0,0,,
2015-02-06,1,RHOPRI04_HF_03,RHOPRI,4,HF,RHOPRI04_HF,3,CL0,cool,long,chill0,25,RHO,1,4,,,0,0,,
2015-02-06,1,VIBCAS02_HF_01,VIBCAS,2,HF,VIBCAS02_HF,1,CL0,cool,long,chill0,25,VIB,1,4,,,0,0,,
2015-02-06,1,ILEMUC03_SH_02,ILEMUC,3,SH,ILEMUC03_SH,2,CL0,cool,long,chill0,26,ILE,2,4,,,0,0,,
2015-02-06,1,QUERUB15_HF_01,QUERUB,15,HF,QUERUB15_HF,1,CL0,cool,long,chill0,26,QUE,2,4,,,0,0,,
2015-02-06,1,ACESAC09_SH_02,ACESAC,9,SH,ACESAC09_SH,2,CL0,cool,long,chill0,26,ACE,2,4,,,0,0,,
2015-02-06,1,CORCOR07_HF_02,CORCOR,7,HF,CORCOR07_HF,2,CL0,cool,long,chill0,27,COR,3,4,,,0,0,,
2015-02-06,1,FRANIG06_HF_02,FRANIG,6,HF,FRANIG06_HF,2,CL0,cool,long,chill0,27,FRA,3,4,,,0,0,,
2015-02-06,1,VACMYR02_SH_01,VACMYR,2,SH,VACMYR02_SH,1,CL0,cool,long,chill0,27,VAC,3,4,,,0,0,,
2015-02-06,1,ALNINC01_SH_02,ALNINC,1,SH,ALNINC01_SH,2,CL0,cool,long,chill0,28,ALN,4,4,,,0,0,,
2015-02-06,1,CORCOR08_HF_02,CORCOR,8,HF,CORCOR08_HF,2,CL0,cool,long,chill0,28,COR,4,4,,,0,0,,
