# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=9
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=618887279
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,mu
-12.1221,0.870845,0.25,2,3,0,0.128602
-12.1221,0,11.3747,1,1,1,0.128602
-12.1221,0,1.79311,1,1,1,0.128602
-11.9706,0.999903,0.169968,3,7,0,0.164823
-11.7287,1,0.224186,1,1,0,0.24502
-11.7287,0.77351,0.345005,1,1,0,0.24502
-12.3785,0.506103,0.290504,2,3,0,0.633517
-12.4204,0.997479,0.109741,1,1,0,0.640954
-12.9268,0.907794,0.195425,1,1,0,0.718984
-16.8132,0.243654,0.269496,1,1,0,1.07709
-16.7006,1,0.0461647,1,1,0,1.06925
-16.8935,0.992662,0.0873615,1,1,0,1.08263
-15.808,0.961067,0.162561,3,7,0,-0.292371
-14.5366,1,0.274307,2,3,0,0.896876
-14.5366,1.29843e-05,0.521965,1,1,0,0.896876
-13.7146,1,0.0445918,3,7,0,0.814738
-13.93,0.992125,0.0856639,1,1,0,0.837615
-13.3578,1,0.159562,1,1,0,0.774095
-13.6316,0.882529,0.302061,1,1,0,0.805609
-13.6316,0.00652294,0.398142,1,1,0,0.805609
-13.5756,1,0.0383831,1,1,0,0.79934
-14.4442,0.98614,0.072633,4,9,0,-0.176915
-15.3356,0.926678,0.130676,1,1,0,-0.254857
-11.8584,0.954698,0.195944,2,3,0,0.196901
-11.6081,1,0.316461,1,1,0,0.342025
-11.6081,0.90501,0.577159,1,1,0,0.342025
-11.6081,0.835662,0.79624,1,1,0,0.342025
-11.6884,0.240873,0.899246,2,3,1,0.446304
-11.6884,0.835388,0.193396,2,3,0,0.446304
-11.8505,0.961352,0.220432,1,1,0,0.511948
-12.53,0.653162,0.353984,1,1,0,0.659545
-12.1049,1,0.244216,1,1,0,0.578943
-11.9223,1,0.431471,1,1,0,0.17792
-11.9223,2.09846e-05,0.75527,2,3,1,0.17792
-11.9149,1,0.0925297,1,1,0,0.180015
-13.9006,0.841308,0.16249,2,3,0,-0.123205
-14.8153,0.852232,0.186937,1,1,0,-0.21067
-12.4744,1,0.220724,1,1,0,0.0610906
-12.4744,0.44751,0.379912,1,1,0,0.0610906
-12.4159,1,0.158588,2,3,0,0.0711882
-11.7835,0.773629,0.271353,2,3,0,0.222562
-11.8335,0.983114,0.260863,1,1,0,0.204946
-11.8335,0.0931549,0.422925,1,1,0,0.204946
-11.6086,0.996254,0.0752682,3,5,0,0.340347
-11.7254,0.973487,0.126251,2,3,0,0.464811
-11.9112,0.902783,0.19883,2,3,0,0.181066
-12.7402,0.752044,0.262135,1,1,0,0.0190075
-12.7402,0.585694,0.239537,1,1,0,0.0190075
-12.16,0.992828,0.147268,2,3,0,0.120405
-11.6065,0.997953,0.239448,2,3,0,0.360975
-11.621,0.988939,0.39145,1,1,0,0.394126
-11.621,0.00485154,0.622445,1,1,0,0.394126
-12.457,0.963889,0.0996978,3,7,0,0.647291
-11.616,0.950822,0.150004,2,3,0,0.386938
-11.616,0.696574,0.217851,2,3,0,0.386938
-11.7747,0.957725,0.176258,2,3,0,0.225886
-11.6502,1,0.258477,1,1,0,0.289338
-12.3336,0.555144,0.414924,1,1,0,0.0860443
-13.0491,0.807434,0.244459,1,1,0,-0.0240788
-12.043,1,0.254167,2,3,0,0.564614
-12.043,0.0413988,0.404451,1,1,0,0.564614
-11.6198,0.990787,0.0776715,4,15,0,0.392533
-11.6101,0.999502,0.121285,3,7,0,0.335975
-11.7058,0.988579,0.191995,2,3,0,0.255918
-11.6137,1,0.295243,1,1,0,0.328392
-12.5663,0.36005,0.46299,1,1,0,0.665447
-12.7012,0.977428,0.183888,1,1,0,0.686505
-13.4209,0.920974,0.274151,2,3,0,-0.0702135
-13.4459,0.994611,0.36111,2,3,0,-0.0731353
-13.4459,0.00955123,0.553607,2,3,0,-0.0731353
-11.6063,0.989565,0.107625,3,7,0,0.352775
-12.0698,0.913927,0.163554,2,3,0,0.140412
-13.0521,0.802556,0.211573,1,1,0,-0.0244757
-13.2947,0.944439,0.217006,1,1,0,-0.0551389
-11.946,1,0.297533,1,1,0,0.171395
-11.615,1,0.455332,1,1,0,0.385308
-11.6974,0.819962,0.693769,1,1,0,0.451164
-11.6451,1,0.732,1,1,0,0.418049
-11.6451,3.95317e-120,1.10788,1,1,0,0.418049
-11.623,0.994431,0.226591,2,3,0,0.31472
-11.9402,0.832679,0.339697,1,1,0,0.17297
-11.9402,0.878004,0.368344,2,3,0,0.17297
-11.9402,0.00392683,0.436315,1,1,0,0.17297
-11.9597,0.999153,0.093085,1,1,0,0.167698
-11.6066,0.962017,0.140307,2,3,0,0.362281
-12.6979,0.787128,0.196008,2,3,0,0.686009
-11.6239,0.975105,0.194693,2,3,0,0.397737
-11.7587,0.930705,0.277602,2,3,0,0.232221
-12.4373,0.640355,0.362368,1,1,0,0.0674692
-11.9038,1,0.271321,2,3,0,0.528142
-11.9038,0.230463,0.402961,1,1,0,0.528142
-11.6498,1,0.139376,3,5,0,0.289636
-11.6206,1,0.206857,1,1,0,0.317793
-12.0933,0.85813,0.305935,2,3,0,0.135025
-12.0933,0.915589,0.346114,1,1,0,0.135025
-12.0933,0.0182731,0.435164,1,1,0,0.135025
-12.0347,0.985353,0.103943,3,7,0,0.148733
-11.9267,0.993556,0.149043,3,7,0,0.176699
-12.1726,0.944089,0.216283,1,1,0,0.117754
