# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=9
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=618887279
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,mu
-16.7496,1,0.25,1,1,0,-0.361321
-16.7496,0,14.3855,1,1,1,-0.361321
-16.7496,0,2.43117,1,1,1,-0.361321
-12.6406,1,0.239791,1,1,0,0.0341367
-12.7038,0.967287,0.324332,1,1,0,0.0244586
-11.743,1,0.460072,1,1,0,0.47259
-11.743,4.80564e-30,0.781087,1,1,0,0.47259
-12.1698,0.98982,0.0620709,4,11,0,0.118333
-11.6771,0.975948,0.107315,2,3,0,0.271521
-11.6065,0.995823,0.182995,2,3,0,0.360746
-11.6065,0.157624,0.338037,1,1,0,0.360746
-11.6088,0.999851,0.0446087,4,11,0,0.371729
-11.6126,0.99978,0.0850794,2,3,0,0.380903
-11.6126,0.559236,0.162556,2,3,0,0.380903
-11.694,0.992572,0.0784863,3,7,0,0.449329
-11.6093,0.99606,0.146959,2,3,0,0.373377
-12.1453,0.630885,0.276621,2,3,0,0.123546
-11.9121,1,0.169474,1,1,0,0.180825
-12.35,0.798308,0.320674,1,1,0,0.0830218
-11.6706,0.987979,0.327978,2,3,0,0.27542
-11.6706,0.0398673,0.590804,1,1,0,0.27542
-11.607,0.999879,0.0639307,4,11,0,0.364438
-11.6129,0.999466,0.119876,3,7,0,0.381451
-11.6129,0.574495,0.222263,2,3,0,0.381451
-11.8494,0.965536,0.119882,2,3,0,0.511592
-11.8635,0.970405,0.199786,2,3,0,0.516036
-14.8334,0.457307,0.334729,2,3,0,-0.212264
-14.601,1,0.131583,3,7,0,-0.191436
-12.7022,1,0.238228,1,1,0,0.0246951
-12.9172,0.940636,0.42706,2,3,0,0.717664
-12.9172,0.0126978,0.644417,2,3,1,0.717664
-13.6356,0.993002,0.0776883,4,15,0,-0.0946983
-14.0138,0.965628,0.135963,1,1,0,-0.134875
-14.9109,0.806111,0.219156,1,1,0,-0.219043
-12.3809,1,0.229674,2,3,0,0.0774046
-12.171,1,0.400425,1,1,0,0.118093
-12.171,0.000104944,0.691986,2,3,1,0.118093
-12.0543,0.996068,0.0891107,2,3,0,0.144047
-11.8271,0.86195,0.152899,2,3,0,0.50427
-11.9503,0.979168,0.184836,1,1,0,0.541126
-11.9296,0.947915,0.299684,2,3,0,0.53546
-11.6452,1,0.445948,1,1,0,0.293228
-11.6452,0.0642559,0.751114,1,1,0,0.293228
-11.7248,0.996378,0.123933,3,7,0,0.246816
-12.7543,0.838291,0.207199,2,3,0,0.0169234
-14.4789,0.87465,0.233823,2,3,0,-0.180167
-11.6109,0.989079,0.287635,2,3,0,0.377316
-11.6109,0.102779,0.464558,1,1,0,0.377316
-12.0453,0.988323,0.0896935,4,15,0,0.146184
-12.0233,1,0.144769,1,1,0,0.151497
-12.1796,0.956457,0.238615,1,1,0,0.116278
-12.1796,0.284973,0.352788,1,1,0,0.116278
-12.3137,0.992088,0.108817,1,1,0,0.0897553
-12.7301,0.938442,0.174652,1,1,0,0.0205204
-11.9086,1,0.246299,1,1,0,0.18182
-11.9086,0.000305902,0.397938,1,1,0,0.18182
-12.0966,0.993732,0.0662189,2,3,0,0.134288
-12.0575,1,0.105692,1,1,0,0.143304
-11.9796,1,0.17008,1,1,0,0.162489
-11.6254,0.948115,0.272091,2,3,0,0.399474
-11.6254,0.185227,0.385847,1,1,0,0.399474
-11.6576,0.982804,0.101708,3,5,0,0.284019
-11.6255,0.98469,0.155825,2,3,0,0.399537
-12.1224,0.888669,0.238507,2,3,0,0.582829
-11.6582,1,0.295145,1,1,0,0.427799
-11.6582,0.0418569,0.462837,1,1,0,0.427799
-11.7844,0.993692,0.0931054,3,7,0,0.489131
-11.6077,0.987182,0.144233,2,3,0,0.367718
-11.6089,0.994823,0.219301,2,3,0,0.339325
-12.3161,0.668696,0.337264,1,1,0,0.62205
-11.6514,1,0.260975,2,3,0,0.422906
-11.6969,0.987891,0.403394,2,3,0,0.260477
-11.6969,4.45772e-06,0.605265,1,1,0,0.260477
-11.6831,0.977722,0.118304,3,7,0,0.268008
-11.7416,0.947719,0.174191,2,3,0,0.472023
-11.7113,1,0.240293,1,1,0,0.458185
-12.6614,0.526641,0.36731,1,1,0,0.680437
-11.964,1,0.215151,1,1,0,0.544795
-12.5058,0.284601,0.327616,2,3,0,0.0558131
-12.385,1,0.119012,1,1,0,0.0766823
-13.132,0.8848,0.18097,1,1,0,-0.0348448
-16.0026,0.504729,0.218205,1,1,0,-0.307213
-11.8017,0.942538,0.124271,3,7,0,0.495473
-11.88,0.906716,0.167759,2,3,0,0.521097
-12.4629,0.878703,0.210571,1,1,0,0.648304
-11.6625,0.873016,0.249773,2,3,0,0.430681
-11.6265,0.990946,0.292551,2,3,0,0.310595
-11.6265,0.372127,0.429236,1,1,0,0.310595
-11.6447,0.995724,0.19193,2,3,0,0.293615
-11.9176,0.895944,0.283699,1,1,0,0.179245
-11.6311,1,0.345786,1,1,0,0.305778
-11.6311,0.0545698,0.512077,1,1,0,0.305778
-11.6301,0.99973,0.127682,2,3,0,0.306781
-11.6301,0.820947,0.189138,2,3,0,0.306781
-12.079,0.921766,0.20006,2,3,0,0.138284
-12.129,0.994622,0.255029,2,3,0,0.12708
-11.6636,1,0.371186,1,1,0,0.279954
-11.6636,0.00917811,0.543873,1,1,0,0.279954
-12.5225,0.93865,0.129163,3,5,0,0.658299
-13.003,0.933354,0.169386,1,1,0,0.72932
-12.4844,1,0.878003,1,1,0,0.651942
-12.4844,0,12.6305,1,1,1,0.651942
