"sp","warm","photo","chill1","chill2","lday","bday","treats","leafout.order","budburst.order"
"ACEPEN",1,1,0,0,71.8181818181818,29.7272727272727,"1 1 0 0",19,11
"ACERUB",1,1,0,0,70,41.1,"1 1 0 0",17,19
"ACESAC",1,1,0,0,81,64.8571428571429,"1 1 0 0",27,25
"ALNINC",1,1,0,0,61.5555555555556,31.7777777777778,"1 1 0 0",13,12
"AROMEL",1,1,0,0,41,15.6666666666667,"1 1 0 0",6,1
"BETALL",1,1,0,0,56.5,34.9166666666667,"1 1 0 0",12,15
"BETLEN",1,1,0,0,69.1666666666667,34.3333333333333,"1 1 0 0",16,14
"BETPAP",1,1,0,0,49.1666666666667,25,"1 1 0 0",10,7
"CORCOR",1,1,0,0,47.2727272727273,26.4545454545455,"1 1 0 0",8,9
"FAGGRA",1,1,0,0,77.3333333333333,61.3333333333333,"1 1 0 0",24.5,23
"FRANIG",1,1,0,0,70.3333333333333,46.7777777777778,"1 1 0 0",18,21
"HAMVIR",1,1,0,0,68,62,"1 1 0 0",14.5,24
"ILEMUC",1,1,0,0,39.6666666666667,20.6666666666667,"1 1 0 0",5,6
"KALANG",1,1,0,0,75,33,"1 1 0 0",23,13
"LONCAN",1,1,0,0,37.5555555555556,20.1111111111111,"1 1 0 0",4,5
"LYOLIG",1,1,0,0,73.6,40,"1 1 0 0",21,18
"NYSSYL",1,1,0,0,73.8333333333333,38.3333333333333,"1 1 0 0",22,17
"POPGRA",1,1,0,0,73.4444444444444,45.1111111111111,"1 1 0 0",20,20
"PRUPEN",1,1,0,0,42.25,16.3333333333333,"1 1 0 0",7,2
"QUEALB",1,1,0,0,82,68,"1 1 0 0",28,27
"QUERUB",1,1,0,0,77.3333333333333,66.3333333333333,"1 1 0 0",24.5,26
"QUEVEL",1,1,0,0,77.8,69.4,"1 1 0 0",26,28
"RHAFRA",1,1,0,0,55.75,36,"1 1 0 0",11,16
"RHOPRI",1,1,0,0,68,29,"1 1 0 0",14.5,10
"SPIALB",1,1,0,0,28.75,19.125,"1 1 0 0",2,4
"VACMYR",1,1,0,0,37.5,17.4,"1 1 0 0",3,3
"VIBCAS",1,1,0,0,26.5,26,"1 1 0 0",1,8
"VIBLAN",1,1,0,0,47.6,47,"1 1 0 0",9,22
"ACEPEN",2,1,0,0,43.7272727272727,21.1818181818182,"2 1 0 0",20,8.5
"ACERUB",2,1,0,0,45.75,33.5,"2 1 0 0",23,20
"ACESAC",2,1,0,0,58.3333333333333,44,"2 1 0 0",28,25
"ALNINC",2,1,0,0,39.6363636363636,29.4545454545455,"2 1 0 0",15,18
"AROMEL",2,1,0,0,26.6666666666667,12.3333333333333,"2 1 0 0",6,1
"BETALL",2,1,0,0,36.4166666666667,27.6666666666667,"2 1 0 0",14,16
"BETLEN",2,1,0,0,43.6666666666667,28.5,"2 1 0 0",19,17
"BETPAP",2,1,0,0,32.1818181818182,21.1818181818182,"2 1 0 0",12,8.5
"CORCOR",2,1,0,0,30.1666666666667,22.5833333333333,"2 1 0 0",9,10
