# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=9
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=618887279
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,mu
-11.8316,0.920767,0.25,2,3,0,0.205573
-11.8316,0,12.4555,1,1,1,0.205573
-11.8316,0,2.01701,1,1,1,0.205573
-11.8556,0.909881,0.194151,2,3,0,0.51355
-11.8078,1,0.199918,1,1,0,0.497632
-11.8078,0.667333,0.306129,1,1,0,0.497632
-11.6157,0.999786,0.185627,3,7,0,0.324804
-11.6256,0.936359,0.32359,2,3,0,0.399729
-11.6256,0.329968,0.480531,1,1,0,0.399729
-11.6092,0.999356,0.107329,3,7,0,0.338409
-11.8509,0.835827,0.200342,2,3,0,0.512059
-11.9461,0.976094,0.225344,1,1,0,0.540002
-12.0102,0.983593,0.396865,2,3,0,0.154733
-12.0102,6.45077e-24,0.715853,1,1,0,0.154733
-11.6109,0.999855,0.0599502,4,9,0,0.377434
-14.1106,0.895703,0.115008,3,7,0,-0.144635
-13.2446,1,0.15924,2,3,0,-0.048996
-12.4722,1,0.302439,1,1,0,0.0614646
-12.4722,0.0268466,0.569701,2,3,0,0.0614646
-12.471,1,0.0570484,1,1,0,0.0616792
-12.2189,0.998536,0.108057,2,3,0,0.108221
-11.7655,0.903183,0.201841,3,7,0,0.481838
-12.7757,0.668496,0.282295,1,1,0,0.697565
-11.745,0.86944,0.198559,2,3,0,0.237876
-11.7964,0.994661,0.250799,2,3,0,0.217814
-12.6201,0.431917,0.451375,1,1,0,0.674008
-11.6107,0.95465,0.163368,2,3,0,0.376774
-11.7612,0.947481,0.261208,2,3,0,0.2312
-11.6507,1,0.4062,1,1,0,0.288992
-11.6507,2.09707e-09,0.72492,1,1,0,0.288992
-11.6317,0.9998,0.0828504,3,7,0,0.305208
-11.717,0.985786,0.148309,3,7,0,0.250441
-11.717,0.789593,0.253216,2,3,0,0.250441
-11.7434,0.87453,0.253726,2,3,0,0.238589
-11.7269,0.846039,0.318396,2,3,0,0.465508
-11.7269,0.0927799,0.36935,1,1,0,0.465508
-12.4766,0.988293,0.0599048,3,5,0,0.650627
-11.8272,0.985637,0.101487,3,7,0,0.504292
-11.8272,0.587785,0.169362,2,3,0,0.504292
-11.6315,1,0.101709,3,7,0,0.405998
-11.6251,0.99286,0.174611,3,7,0,0.312234
-11.7441,0.950475,0.292045,1,1,0,0.238262
-11.9593,0.814884,0.436123,1,1,0,0.543533
-12.0966,0.863135,0.462887,1,1,0,0.134284
-11.9348,0.333544,0.552597,2,3,0,0.536916
-11.8549,0.983756,0.180784,2,3,0,0.513328
-12.0478,0.972742,0.290184,2,3,0,0.565768
-11.7507,1,0.450586,1,1,0,0.235512
-11.9372,0.199362,0.742159,2,3,1,0.537571
-12.4671,0.742503,0.181618,2,3,0,0.0623409
-12.7949,0.95742,0.162906,1,1,0,0.0109945
-12.7543,1,0.242006,1,1,0,0.0169245
-12.7543,0.74919,0.394846,2,3,0,0.0169245
-11.7698,1,0.3585,2,3,0,0.483529
-11.7698,0.0115648,0.579665,1,1,0,0.483529
-11.6828,1,0.0976396,2,3,0,0.443159
-11.6789,1,0.158174,1,1,0,0.440901
-12.1217,0.876666,0.254682,2,3,0,0.12868
-11.798,1,0.309244,2,3,0,0.217232
-11.6414,1,0.492941,1,1,0,0.41499
-11.6414,0.000842986,0.781314,1,1,0,0.41499
-11.6257,0.997938,0.136705,2,3,0,0.399779
-11.6209,1,0.216117,1,1,0,0.394031
-12.0707,0.769405,0.341343,1,1,0,0.571135
-12.4277,0.409268,0.325721,2,3,0,0.0691354
-12.646,0.975661,0.143359,3,7,0,0.678052
-12.5007,1,0.213718,2,3,0,0.654688
-11.6393,1,0.334008,1,1,0,0.41318
-11.6393,0.345386,0.519402,1,1,0,0.41318
-11.9396,0.950851,0.202897,2,3,0,0.538218
-13.6584,0.436901,0.284051,2,3,0,0.80858
-11.974,0.985069,0.135999,3,7,0,0.547405
-12.3989,0.915308,0.204033,1,1,0,0.63716
-13.2458,0.744336,0.264003,1,1,0,0.760491
-12.2773,1,0.240016,1,1,0,0.614668
-12.2773,0.240793,0.367714,2,3,0,0.614668
-12.1961,1,0.120336,2,3,0,0.598488
-12.736,0.912457,0.184175,1,1,0,0.691713
-11.6434,1,0.235437,2,3,0,0.416659
-12.1999,0.700517,0.357576,1,1,0,0.599272
-11.8595,0.826655,0.298224,2,3,0,0.196552
-13.0284,0.550022,0.319744,1,1,0,-0.0213481
-11.8541,1,0.198719,3,7,0,0.513076
-11.738,0.984143,0.299557,2,3,0,0.470463
-11.738,0.461831,0.436097,1,1,0,0.470463
-12.1831,0.889308,0.229539,1,1,0,0.595806
-11.6867,1,0.277557,1,1,0,0.445393
-11.9044,0.829384,0.414489,1,1,0,0.528318
-11.9044,0.0132164,0.444846,1,1,0,0.528318
-12.3382,0.972032,0.100707,2,3,0,0.626169
-11.6669,0.975325,0.142466,3,5,0,0.433581
-11.6108,0.999379,0.20216,2,3,0,0.377166
-11.8318,0.938998,0.299201,2,3,0,0.505824
-11.8318,0.000587474,0.39411,1,1,0,0.505824
-12.1334,0.982355,0.0900219,2,3,0,0.585233
-12.0505,1,0.128858,1,1,0,0.56641
-11.8327,1,0.189971,1,1,0,0.506127
-11.6631,0.953303,0.279135,2,3,0,0.43108
-11.6631,0.0423012,0.37527,1,1,0,0.43108
-11.6503,0.999939,0.0953834,2,3,0,0.4221
-11.6503,0.337542,2.23744,1,1,0,0.4221
-11.6503,3.45159e-15,9.65124,1,1,0,0.4221
-11.6651,0.974236,1.14142,2,3,0,0.278985
-11.6472,0.995182,1.23139,3,7,0,0.419666
-11.6866,0.989315,1.74434,1,1,0,0.445339
-11.6866,0.131661,2.7451,1,1,0,0.445339
-11.9098,0.99651,0.335159,4,11,0,0.181471
-11.6091,0.999732,0.576278,4,15,0,0.372635
-12.167,0.961444,1.04207,3,5,0,0.592421
-11.755,0.933382,1.7095,2,3,0,0.477637
-11.8221,0.986773,2.59717,2,3,0,0.502581
-11.8221,0.0022398,4.69653,1,1,0,0.502581
-11.8891,0.998698,0.382598,2,3,0,0.523825
