# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=9
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=618887279
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,mu
-12.286,0.98523,0.726284,2,3,0,0.616343
-12.2664,1,1.31859,3,7,0,0.0987922
-12.3611,0.982882,2.49451,2,3,0,0.630368
-12.3611,6.21862e-10,4.446,1,1,0,0.630368
-12.6342,0.994258,0.390878,2,3,0,0.676226
-12.7518,0.998154,0.726679,2,3,0,0.694062
-12.1676,1,1.35515,1,1,0,0.59256
-12.1676,0.460396,2.51745,2,3,0,0.59256
-12.3702,0.997734,0.939385,3,7,0,0.632014
-12.1581,1,1.72276,2,3,0,0.590546
-12.8463,0.54313,3.14891,1,1,0,0.707734
-13.2302,0.974336,1.52739,2,3,0,0.758559
-11.6109,1,2.57176,1,1,0,0.333932
-11.6109,1.95395e-07,4.61627,1,1,0,0.333932
-11.6539,0.987608,0.494606,4,11,0,0.424686
-11.6806,0.996578,0.861311,2,3,0,0.441888
-11.6333,0.988344,1.52336,2,3,0,0.303601
-11.6245,1,2.60936,2,3,0,0.312931
-11.6123,0.484813,4.57249,2,3,0,0.380281
-11.8747,0.854263,1.98185,2,3,0,0.519497
-11.8747,0.0570435,2.33655,1,1,0,0.519497
-12.0703,0.998359,0.332094,3,5,0,0.571041
-12.0971,0.999195,0.5785,1,1,0,0.577191
-12.1173,0.957351,1.00106,2,3,0,0.581689
-11.9975,1,1.54112,1,1,0,0.553449
-12.3282,0.680823,2.62948,2,3,0,0.624309
-11.6803,0.966053,1.97246,2,3,0,0.269606
-11.9952,0.768465,3.05757,1,1,0,0.552865
-12.9827,0.797268,2.86687,2,3,0,-0.0152358
-12.9827,0.705413,2.89069,2,3,0,-0.0152358
-12.9827,0.0389152,2.32168,1,1,0,-0.0152358
-11.6098,0.999199,0.363759,4,15,0,0.336734
-11.6997,0.998574,0.608868,4,15,0,0.452345
-13.0987,0.822749,1.01014,2,3,0,0.741911
-13.9955,0.909074,1.09009,1,1,0,0.844359
-14.4154,0.987654,1.44414,3,7,0,-0.174212
-14.4154,0.648883,2.29635,2,3,0,-0.174212
-14.4154,0.00536485,3.26578,2,3,1,-0.174212
-14.4154,0,7.70055,1,1,1,-0.174212
-11.6083,0.999739,0.761468,3,5,0,0.370049
-11.6378,0.997451,0.793829,3,7,0,0.411857
-11.6188,0.995808,1.06696,2,3,0,0.320137
-11.6188,0.00969857,1.64836,1,1,0,0.320137
-11.6213,0.998479,0.135256,4,15,0,0.394498
-11.7005,0.993975,0.229054,4,15,0,0.452774
-11.694,1,0.40169,2,3,0,0.44934
-11.6361,0.999359,0.739512,2,3,0,0.410361
-11.9786,0.852876,1.38183,1,1,0,0.548594
-11.7587,0.888194,1.63888,2,3,0,0.479148
-11.7587,1.27647e-06,2.18313,1,1,0,0.479148
-11.6832,0.999962,0.179876,3,5,0,0.443373
-11.6495,0.970132,0.345268,3,7,0,0.289865
-11.655,0.99645,0.60193,3,7,0,0.285859
-11.6785,0.944989,1.1326,2,3,0,0.270656
-11.7841,0.91947,1.80798,1,1,0,0.222348
-11.7841,0.039802,2.6557,1,1,0,0.222348
-11.6083,0.999109,0.275709,3,7,0,0.341085
-11.8776,0.951165,0.519167,3,5,0,0.520384
-12.0849,0.988336,0.840307,2,3,0,0.574411
-11.838,1,1.5054,1,1,0,0.507879
-11.6063,1,2.76365,1,1,0,0.358439
-11.6063,7.29085e-05,5.02279,1,1,0,0.358439
-11.6279,0.998789,0.519165,3,5,0,0.309068
-11.6065,0.999682,0.944496,2,3,0,0.349834
-11.6065,0.2312,1.70547,1,1,0,0.349834
-11.6377,0.999414,0.35868,4,15,0,0.411809
-11.6343,0.999478,0.646133,2,3,0,0.408707
-11.6096,1,1.15284,2,3,0,0.374065
-11.6096,0.172224,2.04022,1,1,0,0.374065
-11.7463,0.99541,0.384698,3,5,0,0.474027
-11.7028,0.999247,0.672229,3,7,0,0.257401
-11.668,1,1.176,1,1,0,0.277084
-11.668,0.0389852,2.04298,1,1,0,0.277084
-12.3794,0.987561,0.286776,3,5,0,0.0776851
-12.8887,0.965341,0.483479,3,5,0,0.713707
-14.2218,0.947829,0.763629,3,7,0,-0.155625
-11.6717,1,1.14533,2,3,0,0.274744
-11.6717,0.339286,1.94806,1,1,0,0.274744
-11.7053,0.998936,0.625574,2,3,0,0.256146
-11.6619,0.978252,1.05741,2,3,0,0.430304
-11.6064,1,1.68505,1,1,0,0.359572
-12.9171,0.0800549,2.81344,1,1,0,-0.00629137
-14.0996,0.95234,0.494399,2,3,0,-0.143535
-14.6713,0.927333,0.736347,1,1,0,-0.197815
-15.6149,0.784931,1.02685,1,1,0,-0.277307
-14.4345,1,1.01427,1,1,0,-0.176008
-12.4452,1,1.66899,2,3,0,0.64525
-12.4452,1.18105e-26,2.72781,1,1,0,0.64525
-11.6196,0.993463,0.426022,3,5,0,0.392227
-12.4131,0.875584,0.687356,2,3,0,0.639657
-13.4711,0.834132,0.839211,1,1,0,0.787418
-13.4769,0.998798,0.929093,1,1,0,0.78808
-14.6255,0.314297,1.49564,2,3,0,-0.19367
-14.0762,0.988598,0.506807,2,3,0,-0.141192
-12.6952,0.947659,0.795417,3,7,0,0.0257537
-11.7641,1,1.13261,2,3,0,0.230048
-11.9897,0.901932,1.80414,2,3,0,0.551461
-11.9897,8.46616e-12,2.30011,1,1,0,0.551461
-11.938,1,0.401945,1,1,0,0.537792
-12.1014,0.984674,0.638701,2,3,0,0.578149
-12.1014,0.802083,0.976285,1,1,0,0.578149
-12.1594,0.985972,1.00056,1,1,0,0.590813
-12.1594,0.0866424,1.52212,1,1,0,0.590813
-12.2218,0.999079,0.336946,4,9,0,0.107627
-12.2731,0.93209,0.52769,3,7,0,0.613858
-12.2583,1,0.713663,1,1,0,0.610977
-11.6273,0.690564,1.10958,2,3,0,0.309715
-11.6207,1,0.898747,1,1,0,0.317653
-11.6207,0.752105,1.38882,1,1,0,0.317653
-11.7877,0.935663,1.27883,1,1,0,0.220974
-11.7877,0.715587,1.71967,1,1,0,0.220974
-11.684,0.995723,1.46878,2,3,0,0.267497
-11.684,0.0605011,2.22355,1,1,0,0.267497
-11.6212,0.991958,0.503308,3,7,0,0.317011
-11.7271,0.96577,0.756983,2,3,0,0.465599
-12.1225,0.894608,1.07574,1,1,0,0.582846
-11.6792,1,1.32149,1,1,0,0.441095
-11.6792,0.95047,1.99753,1,1,0,0.441095
-11.6792,0.000732882,2.72653,1,1,0,0.441095
-11.993,0.967782,0.572066,2,3,0,0.552298
-11.7932,0.996406,0.810089,3,7,0,0.492399
-11.9836,0.724717,1.20894,2,3,0,0.549892
-11.7528,1,1.06074,1,1,0,0.476713
-12.0759,0.820543,1.58594,1,1,0,0.572343
-12.0759,0.0649009,1.67282,1,1,0,0.572343
-12.2757,0.940128,0.415059,3,5,0,0.096992
-12.5163,0.982264,0.552855,1,1,0,0.054077
-12.3722,1,0.795589,1,1,0,0.0789715
-12.4267,0.981708,1.18002,1,1,0,0.0693018
-14.3241,0.269481,1.68507,1,1,0,-0.165531
-13.7301,1,0.632074,1,1,0,-0.105062
-13.7779,0.989907,0.93345,1,1,0,-0.110222
-15.3995,0.48797,1.34835,1,1,0,-0.260064
-17.1563,0.748095,0.767614,2,3,0,-0.389126
-12.6245,1,0.708737,2,3,0,0.036653
-11.859,1,1.03908,1,1,0,0.196736
-12.3034,0.508601,1.51848,2,3,0,0.619651
-11.6559,0.948805,0.905264,2,3,0,0.426168
-11.6559,0,11.8652,1,1,1,0.426168
-11.6559,0.261653,1.95067,1,1,0,0.426168
-11.7048,0.99731,0.380333,2,3,0,0.454968
-11.7182,0.98957,0.531584,3,5,0,0.249897
-11.7035,1,0.826942,1,1,0,0.257066
-11.6403,0.965477,1.43016,2,3,0,0.297301
-11.6403,1.11111e-08,2.32159,1,1,0,0.297301
-11.9023,0.996814,0.185437,4,15,0,0.527711
-12.0512,0.997922,0.338806,4,15,0,0.144772
-11.8883,1,0.630651,1,1,0,0.187772
-11.7168,1,1.18977,2,3,0,0.250533
-11.6771,1,2.24724,1,1,0,0.271471
-11.6771,0.613425,4.23301,1,1,0,0.271471
-11.6608,1,2.37581,1,1,0,0.281819
-11.6608,2.2512e-05,4.45244,1,1,0,0.281819
-12.3243,0.93965,0.381707,3,5,0,0.0877726
-11.6081,0.99366,0.598602,3,7,0,0.341818
-12.5059,0.747633,1.09943,2,3,0,0.655549
-12.0224,1,0.955318,1,1,0,0.559626
-12.0224,4.75095e-07,1.76661,1,1,0,0.559626
-11.7219,0.988861,0.168221,4,15,0,0.248133
-11.737,0.99997,0.302661,4,15,0,0.241334
-12.0176,0.951641,0.557106,2,3,0,0.152887
-12.0176,0.731523,0.883195,1,1,0,0.152887
-11.638,1,0.74083,2,3,0,0.299262
-11.8051,0.761103,1.33364,2,3,0,0.496659
-11.8138,0.998592,1.21522,2,3,0,0.211639
-11.8138,3.35606e-08,2.14893,1,1,0,0.211639
-12.2196,0.995995,0.238769,4,15,0,0.108063
-12.1122,0.998025,0.420962,2,3,0,0.130795
-11.9515,0.852609,0.739318,2,3,0,0.541455
-11.6746,1,0.869534,2,3,0,0.272978
-11.6746,0.397663,1.51223,1,1,0,0.272978
-11.6121,0.99747,0.528131,2,3,0,0.331486
-11.7204,0.9836,0.907911,2,3,0,0.462496
-11.7204,0.539232,1.49246,1,1,0,0.462496
-11.8257,0.972806,0.770645,2,3,0,0.503802
-11.842,0.960523,1.22418,2,3,0,0.202171
-11.8972,0.486037,1.87133,2,3,0,0.526218
-11.6204,1,0.855755,2,3,0,0.318052
-11.6112,1,1.43901,1,1,0,0.333309
-11.6493,0.930402,2.40122,1,1,0,0.421279
-11.6493,8.7042e-07,3.34775,1,1,0,0.421279
-12.0975,0.947088,0.472375,3,7,0,0.134077
-12.5028,0.933373,0.69056,2,3,0,0.0563217
-11.8887,1,0.971257,1,1,0,0.187631
-11.8887,0.00315317,1.59582,1,1,0,0.187631
-12.2814,0.995368,0.240645,4,15,0,0.615448
-12.2672,1,0.392068,1,1,0,0.612703
-11.8884,0.829325,0.641508,2,3,0,0.187741
-11.6644,0.950665,0.699224,2,3,0,0.431946
-12.5537,0.703831,1.00945,2,3,0,0.0479437
-12.5537,0.632863,0.819804,1,1,0,0.0479437
-11.8128,0.9826,0.567125,3,7,0,0.499358
-11.6265,0.987762,0.875447,2,3,0,0.310637
-11.6265,0.6953,1.3598,1,1,0,0.310637
-12.1246,0.871036,1.08662,2,3,0,0.128047
-12.1572,0.994103,1.29061,2,3,0,0.590353
-12.1572,0.000238734,2.01179,1,1,0,0.590353
-11.7743,0.988804,0.345771,2,3,0,0.48529
-11.7859,0.997547,0.534019,3,5,0,0.221674
-12.0617,0.938523,0.836343,1,1,0,0.142297
-12.1582,0.959198,1.14599,1,1,0,0.120786
-12.1582,0.000461551,1.63607,1,1,0,0.120786
-12.2015,0.999584,0.296121,2,3,0,0.111748
-12.0775,1,0.462478,3,7,0,0.138645
-12.8187,0.919647,0.719303,3,7,0,0.703805
-11.6749,0.952251,0.93931,2,3,0,0.272833
-11.616,0.879982,1.30978,2,3,0,0.387027
-12.3512,0.553446,1.56445,1,1,0,0.0828012
-11.7345,0.78823,0.945446,2,3,0,0.468893
-11.6481,0.969242,0.933731,2,3,0,0.290959
-11.6386,1,1.33871,1,1,0,0.298737
-11.6386,0.189326,2.03644,1,1,0,0.298737
-11.721,0.96039,0.591231,2,3,0,0.462793
-11.6262,0.994183,0.829803,2,3,0,0.400388
-11.6188,0.753398,1.2425,2,3,0,0.320208
-11.6063,0.956452,1.14275,2,3,0,0.352935
-11.6249,0.984868,1.57792,1,1,0,0.39891
-12.0218,0.501994,2.29806,1,1,0,0.151866
-11.6063,1,1.28303,1,1,0,0.35862
-11.7002,0.892425,1.91991,1,1,0,0.25875
-11.7002,0.00532826,2.31801,1,1,0,0.25875
-11.8965,0.988722,0.495331,2,3,0,0.185331
-11.976,0.986396,0.724187,1,1,0,0.163434
-12.3134,0.961598,1.05029,2,3,0,0.0898039
-11.7068,1,1.44729,1,1,0,0.255405
-11.7125,0.991516,2.14018,1,1,0,0.252624
-11.7125,1.3838e-08,3.103,1,1,0,0.252624
-11.7395,0.995855,0.683345,1,1,0,0.240247
-12.5254,0.885799,1.00062,2,3,0,0.0525631
-11.9324,1,1.18724,1,1,0,0.175121
-11.8622,1,1.74187,1,1,0,0.195713
-11.6132,1,2.54709,1,1,0,0.382142
-11.6132,4.36041e-18,3.71238,1,1,0,0.382142
-11.612,0.99835,0.849174,2,3,0,0.33156
-11.612,0.999996,1.23564,2,3,0,0.331512
-11.612,0.120983,1.79774,1,1,0,0.331512
-12.8952,0.796919,0.523902,2,3,0,-0.0032574
-12.6137,1,0.527096,1,1,0,0.0383383
-12.1333,1,0.765939,1,1,0,0.126157
-11.6858,1,1.10961,2,3,0,0.266498
-11.9108,0.826933,1.60266,1,1,0,0.530158
-11.9948,0.923845,1.69338,1,1,0,0.552758
-11.9948,0.0270871,2.12556,1,1,0,0.552758
-11.6156,0.973375,0.542101,3,7,0,0.386346
-11.99,0.79614,0.744672,2,3,0,0.551536
-12.0017,0.999286,0.746777,2,3,0,0.554499
-11.7221,1,1.06954,1,1,0,0.463305
-12.2505,0.666011,1.5295,1,1,0,0.101905
-12.5977,0.843917,1.21934,1,1,0,0.0408796
-11.9382,1,1.32577,1,1,0,0.17351
-11.9382,0.329409,1.88669,1,1,0,0.17351
-12.6729,0.841978,0.843827,1,1,0,0.0291552
-12.6729,0.653641,0.914754,1,1,0,0.0291552
-12.8503,0.990118,0.718216,2,3,0,0.00304226
-11.6887,0.974493,1.00201,2,3,0,0.446486
-11.6887,0.350799,1.35806,1,1,0,0.446486
-11.6062,0.994262,0.639595,2,3,0,0.353826
-12.2392,0.851912,0.895681,2,3,0,0.104149
-11.7098,1,0.985234,1,1,0,0.253945
-11.7613,0.967865,1.38757,1,1,0,0.231152
-11.844,0.911409,1.84781,1,1,0,0.201517
-11.844,0.0293096,2.23586,1,1,0,0.201517
-11.9115,0.997107,0.626798,2,3,0,0.181004
-12.7475,0.936642,0.875721,2,3,0,0.0179269
-13.8568,0.640552,1.10513,1,1,0,-0.118606
-14.7261,0.936898,0.856888,2,3,0,-0.20274
-13.5769,1,1.08016,1,1,0,-0.0881347
-12.2189,1,1.50666,1,1,0,0.108204
-12.2189,0.0299729,2.09693,1,1,0,0.108204
-12.5393,0.96205,0.606041,1,1,0,0.0502853
-12.3704,1,0.794,1,1,0,0.0792996
-13.021,0.770588,1.10375,1,1,0,-0.0203706
-11.6063,1,1.06004,2,3,0,0.352349
-12.0572,0.726208,1.46906,1,1,0,0.567983
-11.6062,1,1.31371,1,1,0,0.357255
-11.6062,0.490197,1.81559,1,1,0,0.357255
-11.7222,0.966964,1.11756,2,3,0,0.24801
-11.6064,1,1.4638,1,1,0,0.360595
-13.7938,0.053747,2.01618,1,1,0,0.823275
-14.6154,0.976079,0.628588,3,7,0,0.904104
-12.6013,1,0.834504,1,1,0,0.671042
-12.7489,0.746704,1.14796,2,3,0,0.693626
-12.0441,1,1.06331,2,3,0,0.14648
-11.6148,1,1.4588,1,1,0,0.385039
-11.6148,0.606922,1.99758,1,1,0,0.385039
-11.6148,0.000589645,1.49045,1,1,0,0.385039
-11.9247,0.981005,0.439089,3,5,0,0.177257
-11.8757,1,0.584436,3,7,0,0.191549
-11.883,0.998471,0.799433,1,1,0,0.189347
-11.9589,0.826189,1.08898,2,3,0,0.167916
-12.2041,0.900511,1.14005,1,1,0,0.11121
-11.8514,0.926761,1.33522,2,3,0,0.512214
-12.0517,0.840281,1.62551,1,1,0,0.566685
-11.6774,1,1.73548,1,1,0,0.44002
-11.6774,0.0149094,2.35382,1,1,0,0.44002
-11.6067,0.995539,0.729779,2,3,0,0.34849
-15.1594,0.399044,0.983902,2,3,0,-0.240265
-14.7668,1,0.545105,2,3,0,-0.206372
-12.914,1,0.739152,1,1,0,-0.00586448
-13.7998,0.747082,1.00059,1,1,0,-0.112559
-11.9805,1,0.930965,2,3,0,0.162252
-11.7208,0.994241,1.25735,2,3,0,0.248651
-11.7208,0.21986,1.68113,1,1,0,0.248651
-12.6838,0.755028,0.722225,2,3,0,0.683865
-11.8859,1,0.680884,3,7,0,0.188492
-11.7786,1,0.917365,1,1,0,0.224423
-13.9784,0.555124,1.23402,2,3,0,-0.131252
-14.0287,0.995851,0.870001,2,3,0,-0.136391
-12.3868,1,1.16164,1,1,0,0.0763563
-11.6542,1,1.55798,1,1,0,0.286436
-11.6542,0.0620726,2.08636,1,1,0,0.286436
-12.6058,0.785507,0.726984,2,3,0,0.671758
-12.1863,1,0.716668,1,1,0,0.596473
-12.0518,1,0.959442,1,1,0,0.566724
-11.7848,1,1.28255,2,3,0,0.489287
-11.7848,0.00040492,1.71193,1,1,0,0.489287
-11.8681,0.989712,0.554183,3,7,0,0.517473
-11.619,0.973598,0.729506,2,3,0,0.319966
-11.6293,0.999005,0.937448,2,3,0,0.307621
-11.6293,0.455097,1.24689,1,1,0,0.307621
-11.6063,0.984287,0.772607,2,3,0,0.352217
-11.8644,0.899321,1.00575,2,3,0,0.516316
-11.6072,0.998935,1.16139,2,3,0,0.345812
-11.6072,0.202908,1.53946,1,1,0,0.345812
-13.3375,0.707121,0.674859,2,3,0,0.771664
-12.8698,1,0.597099,1,1,0,0.711052
-13.4525,0.96223,0.792265,2,3,0,0.785252
-11.8206,0.909011,0.996541,2,3,0,0.209301
-11.9676,0.94745,1.16375,2,3,0,0.545722
-11.8606,0.983392,1.43155,2,3,0,0.196226
-11.7596,1,1.84796,1,1,0,0.231869
-11.7596,3.80535e-05,2.43728,1,1,0,0.231869
-11.9129,0.966496,0.822082,1,1,0,0.180585
-12.4194,0.940155,1.03657,2,3,0,0.64077
-11.8063,1,1.25981,2,3,0,0.497109
-12.0241,0.821187,1.65876,1,1,0,0.56005
-12.0241,0.0228258,1.71348,1,1,0,0.56005
-12.0241,1.3051e-122,4.83068,1,1,0,0.56005
-12.0241,0,11.2799,1,1,1,0.56005
-11.922,0.827555,1.1122,2,3,0,0.178007
-11.7245,0.998526,0.731607,3,7,0,0.246957
-11.6063,1,0.953221,2,3,0,0.352213
-13.4601,0.597475,1.45881,2,3,0,-0.074779
-13.0601,1,0.713975,1,1,0,-0.02553
-11.7854,1,1.24075,2,3,0,0.221856
-11.6488,1,2.24545,1,1,0,0.420898
-11.6063,1,4.16055,1,1,0,0.35785
-11.6063,2.57157e-30,7.80449,1,1,0,0.35785
-11.9433,0.978798,0.624886,3,5,0,0.172123
-11.6301,1,1.11179,2,3,0,0.306803
-11.6301,0.214382,2.11635,1,1,0,0.306803
-11.6201,0.999871,0.346762,2,3,0,0.318472
-11.6064,0.999982,0.664507,3,7,0,0.351568
-11.801,0.948258,1.26657,2,3,0,0.4952
-11.6628,1,2.04635,1,1,0,0.280487
-11.6628,2.88111e-07,3.84463,1,1,0,0.280487
-11.6453,0.99992,0.354191,2,3,0,0.293142
-11.6344,0.997144,0.66934,3,5,0,0.408776
-11.6344,0.823824,1.24255,2,3,0,0.408776
-12.0533,0.719436,1.3743,2,3,0,0.144292
-12.1915,0.964359,1.12083,1,1,0,0.113804
-12.1915,0.000443233,1.85864,1,1,0,0.113804
-11.8158,0.998123,0.194605,4,9,0,0.210928
-11.8353,0.999481,0.357529,1,1,0,0.204367
-11.885,0.999369,0.652734,3,7,0,0.188746
-12.2865,0.889862,1.17942,1,1,0,0.094921
-12.1572,0.368511,1.55948,2,3,0,0.590345
-11.621,0.96312,0.492271,3,5,0,0.394116
-11.6571,0.982259,0.796288,2,3,0,0.284336
-11.6634,0.99762,1.34553,1,1,0,0.280051
-11.6634,1.90068e-08,2.34867,1,1,0,0.280051
-11.9405,0.993479,0.288744,3,5,0,0.172894
-12.1485,0.984063,0.500174,2,3,0,0.122854
-12.1835,0.994883,0.838032,1,1,0,0.115467
-11.6068,0.998533,1.43228,2,3,0,0.363145
-11.6068,0.600997,2.4504,1,1,0,0.363145
-12.1047,0.856484,1.50933,2,3,0,0.578895
-11.9118,1,1.78712,1,1,0,0.530441
-11.9118,0.0697409,3.02619,2,3,0,0.530441
-11.9487,0.998071,0.500276,1,1,0,0.540699
-11.9106,1,0.844253,1,1,0,0.530106
-11.9518,0.994259,1.42059,2,3,0,0.541536
-11.9518,0.0248662,2.33948,1,1,0,0.541536
-11.9701,0.99983,0.365518,2,3,0,0.546387
-11.621,0.995911,0.611438,3,5,0,0.31722
-12.3371,0.825198,1.00601,2,3,0,0.625956
-12.3621,0.759839,1.09632,2,3,0,0.0808166
-11.6374,0.991956,1.02286,2,3,0,0.299867
-13.516,0.345856,1.64464,1,1,0,0.792578
-11.9386,1,0.584606,3,7,0,0.537958
-11.6377,1,0.954954,3,7,0,0.299536
-11.6322,0.407781,1.54996,2,3,0,0.406608
